metric	repeats	mean_finetuned_minus_frozen	empirical_q025	empirical_q975
AUC	10	-0.0395864170458491	-0.05249833536629945	-0.01695506516912463
K20_precision	10	-0.03730769230769232	-0.04764423076923081	-0.01692307692307698
K20_qualified_recall	10	-0.011507009345794392	-0.023422897196261692	-7.301401869158229e-05
