strategy	repeats	mean_test_auc	mean_test_ap	mean_k20_precision	mean_k20_qualified_recall
prospective_dinov2_coreset	10	0.9542920709756408	0.8534361112939912	0.5217307692307692	0.17172897196261683
prospective_uniform	10	0.9549145240575261	0.8543701137117121	0.5242307692307693	0.1724299065420561
retrospective_class_stratified	10	0.9547386382325531	0.8501668354622451	0.5230769230769231	0.17248831775700935
