seed	selected_epoch	threshold	minimum_area_pixels	semantic_mIoU	plant_role_mIoU	run_wall_seconds	test_seconds	test_peak_gpu_memory_bytes	gpu_name	physical_gpu_id	run_summary_sha256	fixed_accepted	fixed_precision	fixed_one_to_one_recall	fixed_crop_scene_frequency	fixed_worst_date_one_to_one_recall	bounded_accepted	bounded_precision	bounded_one_to_one_recall	bounded_crop_scene_frequency	bounded_worst_date_one_to_one_recall	global_accepted	global_precision	global_one_to_one_recall	global_crop_scene_frequency	global_worst_date_one_to_one_recall	val_threshold_accepted	val_threshold_precision	val_threshold_one_to_one_recall	val_threshold_crop_scene_frequency	val_threshold_worst_date_one_to_one_recall
20260810	38	0.5	16	0.7931404766140062	0.7009931695385373	702.4022280285135	0.9759265659376979	538293760	NVIDIA H200	6	b9ae325f40970be2d37d73ac337cadcc8713cbbe5bef55121717ef40e3b4119d	509	0.7111984282907662	0.20619158878504673	0.2692307692307692	0.11688311688311688	509	0.8840864440078585	0.25934579439252337	0.0	0.04846938775510204	509	0.9076620825147348	0.26635514018691586	0.0	0.02806122448979592	327	0.9571865443425076	0.1822429906542056	0.0	0.012755102040816327
20260811	36	0.7	16	0.7790473999655122	0.6802419828838097	718.280954984948	0.9294819431379437	538293760	NVIDIA H200	7	d98d48a472f325e99ae1b1483e257dd9ddc39bdedb5bdcbe8fe5967c6151af8c	505	0.7247524752475247	0.1991822429906542	0.3076923076923077	0.10204081632653061	505	0.9188118811881189	0.2605140186915888	0.07692307692307693	0.05102040816326531	505	0.9445544554455445	0.26810747663551404	0.0	0.012755102040816327	370	0.9702702702702702	0.205607476635514	0.0	0.007653061224489796
20260812	40	0.3	16	0.8115807719521149	0.7275176573852868	722.8803301062435	0.9473783615976572	538293760	NVIDIA H200	6	a883f216142b9dc2ca9feebef7b98b35f2fe965242baa1af3d95ff755b0a2eeb	519	0.6878612716763006	0.20327102803738317	0.23076923076923078	0.09740259740259741	519	0.8786127167630058	0.2605140186915888	0.07692307692307693	0.032467532467532464	519	0.8921001926782274	0.2651869158878505	0.0	0.012987012987012988	342	0.9239766081871345	0.1810747663551402	0.0	0.0
20260813	39	0.5	16	0.7896970321366149	0.6952794834103109	711.4562454586849	0.9302213238552213	538293760	NVIDIA H200	7	e7ec93a1254304a4d77f8df181caeca5eec4295ba7f37c96ef5113b61446c8c1	510	0.7568627450980392	0.20969626168224298	0.23076923076923078	0.12337662337662338	510	0.9215686274509803	0.26635514018691586	0.11538461538461539	0.05612244897959184	510	0.9411764705882353	0.2716121495327103	0.038461538461538464	0.017857142857142856	343	0.9591836734693877	0.18925233644859812	0.0	0.002551020408163265
20260814	31	0.5	16	0.8040807027216128	0.7164368548339739	707.4026452368125	0.9660630915313959	538293760	NVIDIA H200	6	248c066517d36dc2e8a6568e0d157d68a98f858b0185f51dce0ee50478a0f4bf	516	0.7034883720930233	0.19509345794392524	0.19230769230769232	0.11038961038961038	516	0.8662790697674418	0.24240654205607476	0.038461538461538464	0.04846938775510204	516	0.8934108527131783	0.25	0.0	0.03316326530612245	328	0.9329268292682927	0.16822429906542055	0.0	0.015306122448979591
