model	seed	file	date	weed_instances	crop_instances	candidates	accepted_candidates	eligible_weed_candidates	all_candidate_precision	many_to_one_spatial_recalled	many_to_one_role_qualified_recalled	one_to_one_role_qualified_recalled	crop_overlap_scene	maximum_crop_fraction
unet	20260811	2023-05-30_0114	2023-05-30	35	5	35	20	13	0.65	16	11	10	0	0.0
unet	20260811	2023-05-30_0649	2023-05-30	93	6	86	20	19	0.95	21	21	17	0	0.0
unet	20260811	2023-05-30_0652	2023-05-30	55	5	46	20	20	1.0	21	21	18	0	0.0
unet	20260811	2023-05-30_0720	2023-05-30	49	13	52	20	20	1.0	24	24	20	0	0.0
unet	20260811	2023-05-30_0750	2023-05-30	67	14	62	20	20	1.0	23	23	20	0	0.0
unet	20260811	2023-06-06_0161	2023-06-06	101	10	83	20	20	1.0	26	26	20	0	0.0
unet	20260811	2023-06-06_0166	2023-06-06	76	0	77	20	19	0.95	24	24	19	0	0.0
unet	20260811	2023-06-06_0176	2023-06-06	150	7	102	20	20	1.0	28	28	20	0	0.0
unet	20260811	2023-06-06_0231	2023-06-06	65	8	61	20	18	0.9	21	20	18	0	0.0
unet	20260811	2023-06-06_0667	2023-06-06	95	11	51	20	19	0.95	27	26	19	0	0.0
unet	20260811	2023-06-06_0670	2023-06-06	96	11	61	20	20	1.0	30	30	20	0	0.0
unet	20260811	2023-06-06_0736	2023-06-06	69	11	46	20	20	1.0	33	33	19	0	0.0
unet	20260811	2023-06-06_0770	2023-06-06	74	10	57	20	20	1.0	23	23	20	0	0.0
unet	20260811	2023-06-15_0169	2023-06-15	80	4	33	20	17	0.85	25	25	15	0	0.0
unet	20260811	2023-06-15_0735	2023-06-15	74	7	28	20	6	0.3	3	3	3	0	0.0
unet	20260812	2023-05-25_0109	2023-05-25	17	5	21	20	1	0.05	5	1	1	1	0.6153846153846154
unet	20260812	2023-05-25_0114	2023-05-25	17	11	30	20	6	0.3	7	6	6	1	1.0
unet	20260812	2023-05-25_0170	2023-05-25	16	10	25	20	2	0.1	4	2	2	1	0.7705882352941177
unet	20260812	2023-05-25_0183	2023-05-25	9	10	19	19	2	0.10526315789473684	3	2	2	1	0.7810945273631841
unet	20260812	2023-05-25_0681	2023-05-25	69	25	39	20	11	0.55	12	11	11	1	0.7475728155339806
unet	20260812	2023-05-25_0685	2023-05-25	114	23	77	20	18	0.9	21	21	18	0	0.0
unet	20260812	2023-05-25_0750	2023-05-25	74	13	35	20	13	0.65	16	12	11	0	0.0
unet	20260812	2023-05-25_0786	2023-05-25	76	25	55	20	14	0.7	16	13	13	1	0.022222222222222223
unet	20260812	2023-05-30_0039	2023-05-30	43	0	44	20	7	0.35	14	6	6	0	0.0
unet	20260812	2023-05-30_0044	2023-05-30	46	11	58	20	14	0.7	19	14	14	0	0.0
unet	20260812	2023-05-30_0099	2023-05-30	52	1	49	20	16	0.8	19	16	16	0	0.0
unet	20260812	2023-05-30_0114	2023-05-30	35	5	42	20	12	0.6	19	14	12	0	0.0
unet	20260812	2023-05-30_0649	2023-05-30	93	6	86	20	20	1.0	24	24	20	0	0.0
unet	20260812	2023-05-30_0652	2023-05-30	55	5	47	20	19	0.95	23	23	19	0	0.0
unet	20260812	2023-05-30_0720	2023-05-30	49	13	57	20	20	1.0	24	24	20	0	0.0
unet	20260812	2023-05-30_0750	2023-05-30	67	14	74	20	20	1.0	22	22	20	0	0.0
unet	20260812	2023-06-06_0161	2023-06-06	101	10	83	20	20	1.0	21	21	19	0	0.0
unet	20260812	2023-06-06_0166	2023-06-06	76	0	88	20	14	0.7	16	14	14	0	0.0
unet	20260812	2023-06-06_0176	2023-06-06	150	7	107	20	19	0.95	23	22	19	0	0.0
