epoch	mean_train_loss	validation_seconds	validation_peak_memory_bytes	validation_mean_iou	validation_plant_role_mean_iou	epoch_selected_threshold	epoch_selected_minimum_area	epoch_K20_one_to_one_role_qualified_recall	global_best_epoch_so_far
1	1.7010827837166962	0.9773146575316787	521622016	0.5405179487018886	0.3574631390168282	0.7	32	0.14767699115044247	1
2	1.377165315327821	0.9339844640344381	521492992	0.6456896342224502	0.49138476085152	0.7	16	0.15486725663716813	2
3	1.2226363486713834	0.9241051869466901	521751552	0.656413845842813	0.5106247110810279	0.7	16	0.15210176991150443	2
4	1.1365076148951496	0.8982437970116735	525295616	0.6242177365285446	0.466049958263119	0.7	32	0.1504424778761062	2
5	1.0723034419395305	0.9392240280285478	521492992	0.690873393279514	0.5575868275635906	0.7	16	0.15597345132743362	5
6	1.0230247267970332	0.8964341199025512	521751552	0.7222528812243562	0.6001038775692731	0.7	16	0.16371681415929204	6
7	0.964231609194367	0.8990036500617862	525295616	0.7103998081122787	0.5804348983304423	0.7	16	0.16869469026548672	7
8	0.8920954101615481	0.9147909665480256	521492992	0.7046820231264957	0.5733353520991273	0.7	16	0.17643805309734514	8
9	0.8499828168639431	0.8920519584789872	521751552	0.7191635769714576	0.5960171610654867	0.7	16	0.168141592920354	8
10	0.7994827285960868	0.9044909495860338	525295616	0.7159148963406136	0.5901642935033764	0.7	16	0.17035398230088494	8
11	0.787770245914106	0.898536704480648	521492992	0.7045016643948369	0.5744534805052943	0.7	16	0.17256637168141592	8
12	0.7710942973693212	0.9039110420271754	521751552	0.7065093268908585	0.5735728323654092	0.5	16	0.1698008849557522	8
13	0.7117994471832558	0.8944479888305068	525295616	0.7442974871378784	0.6303741740068822	0.5	16	0.17588495575221239	8
14	0.684318369185483	0.898070715367794	521492992	0.7468355054029777	0.6336476335162211	0.3	16	0.17256637168141592	8
15	0.6612746544458248	0.8955515706911683	521751552	0.7404784633661429	0.6240946032730175	0.5	16	0.17035398230088494	8
16	0.6381306852455493	0.9016339536756277	525295616	0.7020644492517846	0.5671841721721238	0.3	16	0.17311946902654868	8
17	0.5874533454577128	0.9174003349617124	521492992	0.7211304021444248	0.5974864120831964	0.7	16	0.1886061946902655	17
18	0.6054399730982604	0.9007779331877828	521751552	0.688074637797591	0.5493098007065856	0.7	16	0.17920353982300885	17
19	0.5672843566647282	0.902817408554256	525295616	0.6861584425465406	0.5433910185982261	0.7	16	0.17699115044247787	17
20	0.5562957100294255	0.917827476747334	521492992	0.7313019888664574	0.6113958016983778	0.7	16	0.1747787610619469	17
21	0.5508707298172845	0.897289864718914	521751552	0.7374893187219681	0.6201481028390119	0.5	16	0.17920353982300885	17
22	0.5076596725870062	0.9096886524930596	525295616	0.7531759202163832	0.6433459384805984	0.5	16	0.17920353982300885	17
23	0.48752900847682246	0.9138289680704474	521492992	0.7594347390968231	0.6518245737583063	0.3	16	0.18252212389380532	17
24	0.5063929888937209	0.9034258192405105	521751552	0.7349992408519354	0.6151426522623828	0.5	16	0.18307522123893805	17
25	0.500582304265764	0.8947042599320412	525295616	0.745841556307511	0.6308909263305549	0.5	16	0.1736725663716814	17
26	0.4750827429471193	0.8968618139624596	521492992	0.7580696317612104	0.6505706350481543	0.3	16	0.18307522123893805	17
27	0.48619614431151637	0.8958523450419307	521751552	0.7415486879142067	0.6269380370448285	0.5	16	0.1847345132743363	17
28	0.46083649551426925	0.8970569930970669	525295616	0.7428639891911071	0.6294869317349104	0.7	16	0.18805309734513273	17
29	0.45420440038045246	0.8979718051850796	521492992	0.7530485452511234	0.6429711415947239	0.5	16	0.18694690265486727	17
30	0.44120472614411954	0.9057417009025812	521751552	0.7614588591006938	0.654589379437658	0.3	16	0.18584070796460178	17
31	0.4552705740487134	0.9009874630719423	525295616	0.7573185195718656	0.649235480229072	0.5	16	0.1886061946902655	17
32	0.47484727259035464	0.8943845015019178	521492992	0.7275126572403422	0.6041071480795478	0.5	16	0.19081858407079647	32
33	0.4488246198053713	0.8976767873391509	521751552	0.7605203165705778	0.6535029710423474	0.5	16	0.1847345132743363	32
34	0.44671018421649933	0.8962778262794018	525295616	0.7139670546509286	0.5830628343084098	0.3	16	0.1886061946902655	32
35	0.44002446753007396	0.9012530203908682	521492992	0.7599285193069812	0.6531924019020372	0.3	16	0.1847345132743363	32
36	0.4322021498724266	0.8992388835176826	521751552	0.7636792583580375	0.65821284682154	0.3	16	0.19081858407079647	36
37	0.4048882794600946	0.9204547442495823	525295616	0.7663523256986982	0.6621551879397487	0.5	16	0.1847345132743363	36
38	0.4214558391659348	0.895893519744277	521492992	0.71063327114993	0.5800321797937482	0.7	16	0.18694690265486727	36
39	0.42518942554791767	0.902264665812254	521751552	0.7488972142488772	0.6359396891555171	0.5	16	0.1886061946902655	36
40	0.412464690429193	0.8928332207724452	525295616	0.7562060072101469	0.6461427030827911	0.3	16	0.1886061946902655	36
