variant	accepted_candidates	weed_candidates	all_candidate_queue_precision	weed_truth_instances	spatial_recalled_weed_instances	queued_spatial_weed_instance_recall	role_qualified_recalled_weed_instances	queued_role_qualified_weed_instance_recall	one_to_one_role_qualified_matches	one_to_one_role_qualified_recall	crop_overlap_scene_numerator_0.00	crop_overlap_scene_frequency_0.00
original_T095_A032	471	276	0.5859872611464968	1712	321	0.1875	205	0.11974299065420561	166	0.0969626168224299	22	0.8461538461538461
commissioned_T070_A032	520	247	0.475	1712	467	0.2727803738317757	273	0.1594626168224299	201	0.11740654205607477	23	0.8846153846153846
