seed	checkpoint_sha256	locked_validation_threshold	locked_minimum_area
20260810	f21d828d6bb49fbfd8f91e55dfce95e3d704bbd6860c0ec718119eba37c061fb	0.5	16
20260811	4c40277a53bffdac818d4347a0d6afa76c00dfe350f2dcdbbdd014905110628f	0.7	16
20260812	a8f73b22c27f5e1b2429c2d03fd0891e2d6cc572c70716029140745b0392053b	0.3	16
20260813	3e5e949b27c2e69a8262a11e4fc0c5a0a2892b1a4c8c894a410c5fd498c24943	0.5	16
20260814	40008b291a61424edc26e0aa165de20f49dbfbaf8e1f85d2de646b97e6244b10	0.5	16
