repeat	epoch	mean_training_loss	validation_all_candidate_roc_auc	validation_all_candidate_average_precision
0	1	1.056873333454132	0.7894157729507149	0.5935128761769749
0	2	0.7128539681434631	0.8719477440094845	0.7382833543846676
0	3	0.6399225950241089	0.8986650515511947	0.7928333748395993
0	4	0.5549481868743896	0.914098193601724	0.8232934637021267
0	5	0.49590938687324526	0.9219094312764733	0.8366942389518264
0	6	0.41280388832092285	0.9283859187571805	0.8500626494000768
0	7	0.38160327076911926	0.9365877183156672	0.8654953528032809
0	8	0.35204931497573855	0.9408581259175478	0.8732671325514264
1	1	0.9334009885787964	0.8462395532130654	0.6619417170410825
1	2	0.6580302476882934	0.8916294856379292	0.7742258872482738
1	3	0.5478389620780945	0.9232179127143753	0.8386644020063521
1	4	0.4436682462692261	0.934222043352369	0.8623930497428816
1	5	0.3955762803554535	0.9378030200148095	0.8692919249138789
1	6	0.33722891807556155	0.9400309079176014	0.8727079497234579
1	7	0.29894683361053465	0.9410980141811631	0.8737052038704882
1	8	0.25401374101638796	0.9456662995649299	0.8813394587665814
2	1	1.0317297577857971	0.774344445843242	0.583300436546303
2	2	0.7406288623809815	0.8394934392542449	0.6871192511082215
2	3	0.592940092086792	0.8990129886608189	0.7803879417014747
2	4	0.492685604095459	0.9245784360276487	0.8276745350148523
2	5	0.41948331594467164	0.9370902941406796	0.8538120766500591
2	6	0.36003907918930056	0.9422533438144017	0.8669591646800257
2	7	0.32975422143936156	0.945460610247987	0.8750547598892953
2	8	0.28326616883277894	0.9495134332471256	0.8815590242285537
3	1	1.5964545249938964	0.5537860216514028	0.2469179518214788
3	2	0.9873874187469482	0.7460430827426168	0.5654889041947607
3	3	0.7233998417854309	0.8370102983436806	0.7122612056221277
3	4	0.554928594827652	0.8934747418475163	0.8035796609423249
3	5	0.5145301818847656	0.915127135823347	0.8346787375442395
3	6	0.41895217895507814	0.9234746526328728	0.8502942065007
3	7	0.33723966479301454	0.9274288438872604	0.858397006403504
3	8	0.2953801155090332	0.9301503861507152	0.8628394348189738
4	1	1.1000713229179382	0.7623232682694243	0.5495292794302308
4	2	0.7372893810272216	0.8506408089587363	0.7033437613617398
4	3	0.5740455985069275	0.8909574019902796	0.7723665762553429
4	4	0.476689213514328	0.9113439393023216	0.8086235570657377
4	5	0.3923603594303131	0.9249531375303206	0.833651585139741
4	6	0.348148575425148	0.9370828595870551	0.8567907710626396
4	7	0.310286146402359	0.9426850435615279	0.8680977498028687
4	8	0.2948297619819641	0.9478114161040362	0.877946116476571
5	1	0.8837791085243225	0.7779650734583462	0.6266446155655719
5	2	0.6262819588184356	0.8247110684643086	0.7090196305212058
5	3	0.5101998388767243	0.8903621420634157	0.7788682981968227
5	4	0.42775953412055967	0.9204943879032874	0.8189920402583454
5	5	0.3875937044620514	0.9325502600606859	0.8394215636387927
5	6	0.31983902752399446	0.9404264261704218	0.8544814832699508
5	7	0.29143119156360625	0.9423445410055284	0.8590212689892069
5	8	0.23032006323337556	0.943155402987501	0.8618568419480103
6	1	0.9751853227615357	0.803624196200844	0.5911780176009103
6	2	0.6290825784206391	0.8851411028714229	0.7399225375974005
6	3	0.4611953258514404	0.9188424300879359	0.8102137162667855
6	4	0.37338491082191466	0.9352138128058699	0.8456562933464892
6	5	0.3251814186573029	0.9471799746828666	0.8728393061469643
6	6	0.25226674377918246	0.9526899701923963	0.8844027530030361
6	7	0.24059945344924927	0.955975051620584	0.8916451933523343
6	8	0.170402592420578	0.9587268277354448	0.8942720787866557
7	1	1.1577236652374268	0.6822506475496206	0.439392404156261
7	2	0.8518526196479798	0.7918642192776983	0.6221010186624267
7	3	0.6756715476512909	0.867488498745543	0.7262473929807614
7	4	0.5507613956928253	0.903461825549686	0.788169486109355
7	5	0.5104309141635894	0.9216427786198098	0.824029510707693
7	6	0.511836576461792	0.9303967176941386	0.8414716691069253
7	7	0.416781485080719	0.9384914596804331	0.8562015015851928
7	8	0.3928793013095856	0.9415540001367957	0.861723381554113
8	1	0.9300776243209838	0.808174638655912	0.633436935629769
8	2	0.7142035007476807	0.8773814114351364	0.7500383231692821
8	3	0.5757435500621796	0.9020621469206574	0.789892089361363
8	4	0.548661720752716	0.9205211522963354	0.8251632276415529
8	5	0.4322315096855164	0.9289658139398872	0.8434999184836
8	6	0.38221752643585205	0.9319485568540142	0.8523796856418515
8	7	0.3723299980163574	0.9322781553980312	0.8542122310716384
8	8	0.3162690818309784	0.9337412755513217	0.853438740131405
9	1	1.0598784565925599	0.7965866477399453	0.5305530607236375
9	2	0.7125821352005005	0.8863013888737444	0.7301211023483132
9	3	0.6196505904197693	0.9098119256187779	0.7878389420009038
9	4	0.49980577230453493	0.9249615633577617	0.8247931538409521
9	5	0.463057142496109	0.9270729765871036	0.8286158278000859
9	6	0.41598438024520873	0.9319505394016472	0.8390544714365747
9	7	0.35569208264350893	0.9392701052633666	0.8560706443536625
9	8	0.32294816374778745	0.9425219790186983	0.8621218847412496
