contrast	metric	point	crossed_seed_image_lower_95	crossed_seed_image_upper_95	bonferroni_family_lower_97_5	bonferroni_family_upper_97_5	date_block_seed_lower_95	date_block_seed_upper_95	bootstrap_probability_above_zero
maskrcnn_minus_unet	one_to_one_recall	0.013239875389408046	-0.0008602900227049014	0.030021769630721038	-0.0027328501710978488	0.032942563943469935	0.002346041055718451	0.03413561342380341	0.96655
maskrcnn_minus_unet	spatial_recall	-0.025389408099688482	-0.05762534439761731	0.0019354917240322082	-0.06281624719096782	0.005846617747541726	-0.05734771888358791	0.009075963984411028	0.03495
maskrcnn_minus_unet	qualified_recall	-0.020989096573208743	-0.054260303485542	0.007482838407320974	-0.060196016492826854	0.011538819202156115	-0.05485485485485489	0.010714580386610082	0.0779
maskrcnn_minus_unet	candidate_precision	0.07241635855352158	0.016787585002275	0.14276569030921393	0.010064759563855318	0.1553485568754648	0.024058989689270605	0.21393619257857666	0.9969
maskrcnn_minus_unet	crop_exposure	-0.015384615384615385	-0.19749999999999995	0.15384615384615385	-0.22564102564102567	0.1794871794871795	-0.3307692307692308	0.28205128205128205	0.43195
deeplabv3plus_minus_unet	one_to_one_recall	-0.010319314641744598	-0.02367160026919171	0.002633038123108914	-0.025580616765450946	0.004896886230907487	-0.024385609303755773	0.013309523809523792	0.0551
deeplabv3plus_minus_unet	spatial_recall	0.004205607476635453	-0.022464764553198586	0.02878300445422917	-0.026810579710936224	0.03257759712952075	-0.024924242424242404	0.02844748271997012	0.62715
deeplabv3plus_minus_unet	qualified_recall	-0.004828660436137111	-0.03408077351458797	0.021657193958664542	-0.03888211215070082	0.025929033059055105	-0.03401525871926814	0.019419419419419385	0.3599
deeplabv3plus_minus_unet	candidate_precision	-0.03353721400707754	-0.08106598217421683	0.007961819684357264	-0.08910296981831262	0.014463578618785077	-0.10399999999999998	0.03695219663860916	0.05765
deeplabv3plus_minus_unet	crop_exposure	-0.0025641025641025827	-0.07442307692307687	0.06153846153846154	-0.09230769230769229	0.0769230769230769	-0.06154761904761904	0.05238095238095236	0.4083
