variant	held_out_date	all_candidate_precision	queued_spatial_weed_instance_recall	queued_role_qualified_weed_instance_recall	pure_crop_scene_frequency	crop_overlap_scene_frequency_0.00	crop_overlap_scene_frequency_0.10
original	2023-05-25	0.027662517289073305	0.017699115044247787	0.008259587020648967	0.9583333333333334	0.9791666666666666	0.9791666666666666
nested_commissioned	2023-05-25	0.03232533889468196	0.04837758112094395	0.01710914454277286	0.4166666666666667	0.5416666666666666	0.5416666666666666
original	2023-05-30	0.43630573248407645	0.14173877214668315	0.11372064276885044	0.75	0.8333333333333334	0.8333333333333334
nested_commissioned	2023-05-30	0.1375	0.10259579728059333	0.05109188298310672	0.16666666666666666	0.375	0.3333333333333333
original	2023-06-06	0.8177083333333334	0.141557342361405	0.1184934405416843	0.375	0.6458333333333334	0.625
nested_commissioned	2023-06-06	0.5552083333333333	0.12970799830723656	0.09733389758781211	0.1875	0.3125	0.3125
original	2023-06-15	0.6512605042016807	0.17527519051651144	0.028789161727349702	0.75	1.0	1.0
nested_commissioned	2023-06-15	0.694560669456067	0.275190516511431	0.04233700254022015	0.6666666666666666	0.9166666666666666	0.9166666666666666
