variant	held_out_date	truth_instances	spatial_proposal_recall	role_qualified_proposal_recall	proposal_ar_iou_0.25	proposal_ar_iou_0.50	proposal_ar_iou_0.75
original	2023-05-25	1695	0.018289085545722714	0.008849557522123894	0.01710914454277286	0.00471976401179941	0.0
nested_commissioned	2023-05-25	1695	0.1392330383480826	0.02654867256637168	0.07374631268436578	0.01887905604719764	0.0005899705014749262
original	2023-05-30	2427	0.24145035022661723	0.16398846312319737	0.25051503914297485	0.10094767202307375	0.005356407086938607
nested_commissioned	2023-05-30	2427	0.580964153275649	0.21672847136382364	0.365471775854965	0.13391017717346518	0.002472187886279357
original	2023-06-06	4726	0.33770630554380027	0.252644942869234	0.32120186203977996	0.13901819720694034	0.012484130342784595
nested_commissioned	2023-06-06	4726	0.6193398222598392	0.4555649597968684	0.4519678374947101	0.24418112568768516	0.033855268726195514
original	2023-06-15	1181	0.21083827265029637	0.03725656223539373	0.04911092294665537	0.012701100762066046	0.001693480101608806
nested_commissioned	2023-06-15	1181	0.3903471634208298	0.0821337849280271	0.07959356477561388	0.026248941574936496	0.004233700254022015
