seed	checkpoint_relative_path	checkpoint_sha256	validation_selected_epoch	validation_selected_threshold	validation_selected_minimum_area
20260810	results/p2_development/P2_WEEDSGALORE_TARGET_SEMANTIC_H200_SEED_20260810_20260812_v1/best_validation_queue.pt	f21d828d6bb49fbfd8f91e55dfce95e3d704bbd6860c0ec718119eba37c061fb	38	0.5	16
20260811	results/p2_development/P2_WEEDSGALORE_TARGET_SEMANTIC_H200_SEED_20260811_20260812_v1/best_validation_queue.pt	4c40277a53bffdac818d4347a0d6afa76c00dfe350f2dcdbbdd014905110628f	36	0.7	16
20260812	results/p2_development/P2_WEEDSGALORE_TARGET_SEMANTIC_H200_SEED_20260812_20260812_v1/best_validation_queue.pt	a8f73b22c27f5e1b2429c2d03fd0891e2d6cc572c70716029140745b0392053b	40	0.3	16
20260813	results/p2_development/P2_WEEDSGALORE_TARGET_SEMANTIC_H200_SEED_20260813_20260812_v1/best_validation_queue.pt	3e5e949b27c2e69a8262a11e4fc0c5a0a2892b1a4c8c894a410c5fd498c24943	39	0.5	16
20260814	results/p2_development/P2_WEEDSGALORE_TARGET_SEMANTIC_H200_SEED_20260814_20260812_v1/best_validation_queue.pt	40008b291a61424edc26e0aa165de20f49dbfbaf8e1f85d2de646b97e6244b10	31	0.5	16
