model	training_seeds	all_candidate_precision_mean	all_candidate_precision_sample_sd	many_to_one_spatial_recall_mean	many_to_one_spatial_recall_sample_sd	many_to_one_role_qualified_recall_mean	many_to_one_role_qualified_recall_sample_sd	one_to_one_role_qualified_recall_mean	one_to_one_role_qualified_recall_sample_sd	crop_overlap_scene_frequency_mean	crop_overlap_scene_frequency_sample_sd	mean_candidates_per_image_mean	mean_candidates_per_image_sample_sd
ResNet18-UNet	5	0.7168326584811308	0.026049410332152332	0.2668224299065421	0.021094456371635043	0.24684579439252335	0.023072799594814182	0.20268691588785046	0.005737991444038692	0.24615384615384617	0.04385290096535146	19.684615384615388	0.216549050157834
DeepLabV3Plus-ResNet50	3	0.6831539952090241	0.004212319378450321	0.2710280373831776	0.010659046490008553	0.24201713395638627	0.009442644589549942	0.19236760124610588	0.0032170388710783373	0.2435897435897436	0.02220577958421636	19.705128205128204	0.080064076902543
Mask-RCNN-ResNet50-FPN-v2	3	0.7891025641025641	0.014175220761215364	0.24143302180685358	0.004102668906874113	0.22585669781931464	0.00526781513180244	0.21592679127725858	0.0037553157168975716	0.23076923076923075	0.07692307692307693	20.0	0.0
