seed	selected_epoch	selected_foreground_threshold	selected_minimum_area_pixels	test_semantic_mean_iou	test_semantic_plant_role_mean_iou	fixed_budget	validation_global_budget	validation_score_cutoff
20260810	38	0.5	16	0.7931404766140062	0.7009931695385373	509	520	0.9985351545460536
20260811	36	0.7	16	0.7790473999655122	0.6802419828838097	505	520	0.9989579634998677
20260812	40	0.3	16	0.8115807719521149	0.7275176573852868	519	520	0.996972076698252
20260813	39	0.5	16	0.7896970321366149	0.6952794834103109	510	520	0.998930378239133
20260814	31	0.5	16	0.8040807027216128	0.7164368548339739	516	520	0.9974999438940294
