policy	metric	n_seeds	mean	sample_sd	minimum	maximum
fixed_K20_per_tile	candidate_precision	5	0.7168326584811308	0.026049410332152332	0.6878612716763006	0.7568627450980392
fixed_K20_per_tile	many_to_one_qualified_recall	5	0.24684579439252335	0.023072799594814182	0.2266355140186916	0.28329439252336447
fixed_K20_per_tile	one_to_one_qualified_recall	5	0.20268691588785046	0.005737991444038692	0.19509345794392524	0.20969626168224298
fixed_K20_per_tile	crop_overlap_scene_frequency	5	0.24615384615384617	0.04385290096535146	0.19230769230769232	0.3076923076923077
fixed_K20_per_tile	date_macro_precision	5	0.6840099746744865	0.0407447238160868	0.6334709119496855	0.7463541666666667
fixed_K20_per_tile	date_macro_many_to_one_recall	5	0.23049080789340531	0.021048297194338848	0.2124276156743689	0.26392590093888796
fixed_K20_per_tile	date_macro_one_to_one_recall	5	0.18579158936301793	0.00626897155307746	0.17863467701130037	0.1941783324900208
fixed_K20_per_tile	worst_date_precision	5	0.3992631691381981	0.052489466535178275	0.3310344827586207	0.4666666666666667
fixed_K20_per_tile	worst_date_many_to_one_recall	5	0.13979591836734692	0.018164268488691737	0.1096938775510204	0.15816326530612246
fixed_K20_per_tile	worst_date_one_to_one_recall	5	0.11001855287569573	0.010588963395269768	0.09740259740259741	0.12337662337662338
fixed_K20_per_tile	accepted_candidates	5	511.8	5.630275304103699	505.0	519.0
bounded_global_min5_max50	candidate_precision	5	0.8938717478354811	0.024895147495641184	0.8662790697674418	0.9215686274509803
bounded_global_min5_max50	many_to_one_qualified_recall	5	0.32675233644859814	0.025288076244689293	0.29906542056074764	0.35689252336448596
bounded_global_min5_max50	one_to_one_qualified_recall	5	0.25782710280373833	0.009045255296284745	0.24240654205607476	0.26635514018691586
bounded_global_min5_max50	crop_overlap_scene_frequency	5	0.06153846153846154	0.04385290096535146	0.0	0.11538461538461539
bounded_global_min5_max50	date_macro_precision	5	0.7911100471957689	0.04939234765879836	0.7432148980580716	0.8672257510639194
bounded_global_min5_max50	date_macro_many_to_one_recall	5	0.26571948614156404	0.0189933183939074	0.23766620284477427	0.28017161410018554
bounded_global_min5_max50	date_macro_one_to_one_recall	5	0.20936632090852872	0.003378972234626397	0.20546150278293135	0.21234609546297856
bounded_global_min5_max50	worst_date_precision	5	0.525	0.04677071733467428	0.475	0.575
bounded_global_min5_max50	worst_date_many_to_one_recall	5	0.05064935064935065	0.007242530952489906	0.03896103896103896	0.058673469387755105
bounded_global_min5_max50	worst_date_one_to_one_recall	5	0.04730983302411874	0.008865855683495029	0.032467532467532464	0.05612244897959184
bounded_global_min5_max50	accepted_candidates	5	511.8	5.630275304103699	505.0	519.0
global_top_equal_fixed_budget	candidate_precision	5	0.9157808107879841	0.02549491425104825	0.8921001926782274	0.9445544554455445
global_top_equal_fixed_budget	many_to_one_qualified_recall	5	0.3386682242990654	0.025012688936338102	0.3072429906542056	0.3662383177570093
global_top_equal_fixed_budget	one_to_one_qualified_recall	5	0.26425233644859814	0.00832846430964373	0.25	0.2716121495327103
global_top_equal_fixed_budget	crop_overlap_scene_frequency	5	0.007692307692307693	0.017200522903844537	0.0	0.038461538461538464
global_top_equal_fixed_budget	date_macro_precision	5	0.8379881107441152	0.04172006534321614	0.7835807050092765	0.8955513784461153
global_top_equal_fixed_budget	date_macro_many_to_one_recall	5	0.2713631444313262	0.019461241939600523	0.2418834682633384	0.2873756114015854
global_top_equal_fixed_budget	date_macro_one_to_one_recall	5	0.2118904255917243	0.0051523459965902305	0.20365400292348343	0.21652927700005625
global_top_equal_fixed_budget	worst_date_precision	5	0.6685087719298245	0.054833683451635036	0.6	0.7333333333333333
global_top_equal_fixed_budget	worst_date_many_to_one_recall	5	0.02328385899814471	0.009526149679563384	0.012755102040816327	0.03571428571428571
global_top_equal_fixed_budget	worst_date_one_to_one_recall	5	0.020964749536178114	0.00921769433582058	0.012755102040816327	0.03316326530612245
global_top_equal_fixed_budget	accepted_candidates	5	511.8	5.630275304103699	505.0	519.0
validation_global_top520_score_threshold	candidate_precision	5	0.9487087851075187	0.0194116204604103	0.9239766081871345	0.9702702702702702
validation_global_top520_score_threshold	many_to_one_qualified_recall	5	0.2394859813084112	0.02974960649123095	0.20852803738317757	0.2774532710280374
validation_global_top520_score_threshold	one_to_one_qualified_recall	5	0.1852803738317757	0.013663730389919108	0.16822429906542055	0.205607476635514
validation_global_top520_score_threshold	crop_overlap_scene_frequency	5	0.0	0.0	0.0	0.0
validation_global_top520_score_threshold	date_macro_precision	5	0.8800269679645153	0.04993171344919865	0.8164332850474811	0.9381857104629382
validation_global_top520_score_threshold	date_macro_many_to_one_recall	5	0.19163370720188902	0.024647795671199013	0.15797527688761454	0.22325082925732276
validation_global_top520_score_threshold	date_macro_one_to_one_recall	5	0.14563185191431943	0.011389812111798025	0.1367968881767583	0.16490765727778714
validation_global_top520_score_threshold	worst_date_precision	5	0.6476190476190478	0.20002125737371154	0.3333333333333333	0.8333333333333334
validation_global_top520_score_threshold	worst_date_many_to_one_recall	5	0.008163265306122448	0.0070787943497508206	0.0	0.015306122448979591
validation_global_top520_score_threshold	worst_date_one_to_one_recall	5	0.007653061224489796	0.006503851420398961	0.0	0.015306122448979591
validation_global_top520_score_threshold	accepted_candidates	5	342.0	17.363755354185336	327.0	370.0
model	test_semantic_mean_iou	5	0.7955092766779722	0.012670330402323831	0.7790473999655122	0.8115807719521149
model	test_semantic_plant_role_mean_iou	5	0.7040938296103837	0.01842039198403748	0.6802419828838097	0.7275176573852868
model	selected_epoch	5	36.8	3.5637059362410923	31.0	40.0
