held_out_date	eligible_crop_candidates	eligible_weed_candidates	dinov2_frozen_roc_auc	dinov2_frozen_average_precision	dinov2_finetune_mean_roc_auc	dinov2_finetune_mean_average_precision
2023-05-25	384	53	0.9028842374213837	0.611741745159147	0.8961854690775682	0.6035380453532971
2023-05-30	174	563	0.9382056307547825	0.9695023664787414	0.9722256249021729	0.9891737213010144
2023-06-06	321	2026	0.9451576545408137	0.9866760848930344	0.9628090278098119	0.9929936744602691
2023-06-15	66	389	0.7483251538521462	0.9368863930595711	0.7673911350003895	0.9465634893492911
