repeat	dinov2_frozen_date_macro_roc_auc	source_semantic_frozen_date_macro_roc_auc	role_plus_local_date_macro_roc_auc	role_plus_local_minus_dinov2	dinov2_minus_source_semantic
0	0.8736982467498112	0.6995264364127718	0.8660793217445316	-0.007618925005279609	0.17417181033703943
1	0.8670585332441085	0.6951286357661788	0.8691887079790988	0.00213017473499022	0.17192989747792975
2	0.8656660509202616	0.7094298539184298	0.8742062718047805	0.00854022088451889	0.15623619700183178
3	0.8607467634804975	0.6936549878836596	0.8609664938768914	0.00021973039639389125	0.16709177559683785
4	0.9202555991843914	0.7106401729468277	0.8708674552893532	-0.049388143895038206	0.20961542623756368
5	0.9108524026055431	0.7304123979752349	0.8562797631812595	-0.05457263942428359	0.18044000463030818
6	0.8751879989057922	0.7190797212356239	0.8673702557903329	-0.007817743115459352	0.15610827767016833
7	0.8796289203371818	0.6943768951617089	0.8764251310654982	-0.0032037892716835215	0.1852520251754729
8	0.8589624774398226	0.6599402792422585	0.8766232369750576	0.01766075953523505	0.19902219819756406
9	0.8939681648765406	0.6909773645968886	0.8534396696941389	-0.04052849518240176	0.202990800279652
