model	k	stratum	minimum_iou	selected_candidates	weed_truth_instances	many_to_one_recalled_instances	many_to_one_queued_recall	one_to_one_matches	one_to_one_queued_recall
all_candidate_role_plus_local_logistic	20	2023-05-25	0.75	160	392	0	0.0	0	0.0
all_candidate_role_plus_local_logistic	20	2023-05-30	0.25	160	440	104	0.23636363636363636	100	0.22727272727272727
all_candidate_role_plus_local_logistic	20	2023-05-30	0.5	160	440	40	0.09090909090909091	40	0.09090909090909091
all_candidate_role_plus_local_logistic	20	2023-05-30	0.75	160	440	3	0.006818181818181818	3	0.006818181818181818
all_candidate_role_plus_local_logistic	20	2023-06-06	0.25	160	726	151	0.20798898071625344	142	0.19559228650137742
all_candidate_role_plus_local_logistic	20	2023-06-06	0.5	160	726	96	0.1322314049586777	96	0.1322314049586777
all_candidate_role_plus_local_logistic	20	2023-06-06	0.75	160	726	18	0.024793388429752067	18	0.024793388429752067
all_candidate_role_plus_local_logistic	20	2023-06-15	0.25	40	154	13	0.08441558441558442	13	0.08441558441558442
all_candidate_role_plus_local_logistic	20	2023-06-15	0.5	40	154	10	0.06493506493506493	10	0.06493506493506493
all_candidate_role_plus_local_logistic	20	2023-06-15	0.75	40	154	0	0.0	0	0.0
all_candidate_role_plus_local_logistic	50	ALL	0.25	1237	1712	516	0.3014018691588785	491	0.2867990654205608
all_candidate_role_plus_local_logistic	50	ALL	0.5	1237	1712	240	0.14018691588785046	240	0.14018691588785046
all_candidate_role_plus_local_logistic	50	ALL	0.75	1237	1712	27	0.015771028037383176	27	0.015771028037383176
all_candidate_role_plus_local_logistic	50	2023-05-25	0.25	382	392	30	0.07653061224489796	29	0.07397959183673469
all_candidate_role_plus_local_logistic	50	2023-05-25	0.5	382	392	9	0.02295918367346939	9	0.02295918367346939
all_candidate_role_plus_local_logistic	50	2023-05-25	0.75	382	392	1	0.002551020408163265	1	0.002551020408163265
all_candidate_role_plus_local_logistic	50	2023-05-30	0.25	400	440	165	0.375	161	0.3659090909090909
all_candidate_role_plus_local_logistic	50	2023-05-30	0.5	400	440	60	0.13636363636363635	60	0.13636363636363635
all_candidate_role_plus_local_logistic	50	2023-05-30	0.75	400	440	3	0.006818181818181818	3	0.006818181818181818
all_candidate_role_plus_local_logistic	50	2023-06-06	0.25	398	726	303	0.41735537190082644	284	0.39118457300275483
all_candidate_role_plus_local_logistic	50	2023-06-06	0.5	398	726	160	0.22038567493112948	160	0.22038567493112948
all_candidate_role_plus_local_logistic	50	2023-06-06	0.75	398	726	23	0.03168044077134986	23	0.03168044077134986
all_candidate_role_plus_local_logistic	50	2023-06-15	0.25	57	154	18	0.11688311688311688	17	0.11038961038961038
all_candidate_role_plus_local_logistic	50	2023-06-15	0.5	57	154	11	0.07142857142857142	11	0.07142857142857142
all_candidate_role_plus_local_logistic	50	2023-06-15	0.75	57	154	0	0.0	0	0.0
all_candidate_frozen_dinov2_linear	1	ALL	0.25	26	1712	21	0.012266355140186916	19	0.011098130841121495
all_candidate_frozen_dinov2_linear	1	ALL	0.5	26	1712	13	0.007593457943925234	13	0.007593457943925234
all_candidate_frozen_dinov2_linear	1	ALL	0.75	26	1712	0	0.0	0	0.0
all_candidate_frozen_dinov2_linear	1	2023-05-25	0.25	8	392	2	0.00510204081632653	2	0.00510204081632653
all_candidate_frozen_dinov2_linear	1	2023-05-25	0.5	8	392	2	0.00510204081632653	2	0.00510204081632653
all_candidate_frozen_dinov2_linear	1	2023-05-25	0.75	8	392	0	0.0	0	0.0
all_candidate_frozen_dinov2_linear	1	2023-05-30	0.25	8	440	8	0.01818181818181818	7	0.015909090909090907
all_candidate_frozen_dinov2_linear	1	2023-05-30	0.5	8	440	3	0.006818181818181818	3	0.006818181818181818
