model	k	stratum	minimum_instance_coverage	minimum_candidate_labeled_coverage	minimum_same_role_purity	selected_candidates	weed_truth_instances	many_to_one_recalled_instances	many_to_one_queued_recall	one_to_one_matches	one_to_one_queued_recall
all_candidate_role_plus_local_logistic	1	2023-05-25	0.75	0.25	0.5	8	392	0	0.0	0	0.0
all_candidate_role_plus_local_logistic	1	2023-05-25	0.75	0.25	0.75	8	392	0	0.0	0	0.0
all_candidate_role_plus_local_logistic	1	2023-05-25	0.75	0.25	0.9	8	392	0	0.0	0	0.0
all_candidate_role_plus_local_logistic	1	2023-05-25	0.75	0.5	0.5	8	392	0	0.0	0	0.0
all_candidate_role_plus_local_logistic	1	2023-05-25	0.75	0.5	0.75	8	392	0	0.0	0	0.0
all_candidate_role_plus_local_logistic	1	2023-05-25	0.75	0.5	0.9	8	392	0	0.0	0	0.0
all_candidate_role_plus_local_logistic	1	2023-05-25	0.75	0.75	0.5	8	392	0	0.0	0	0.0
all_candidate_role_plus_local_logistic	1	2023-05-25	0.75	0.75	0.75	8	392	0	0.0	0	0.0
all_candidate_role_plus_local_logistic	1	2023-05-25	0.75	0.75	0.9	8	392	0	0.0	0	0.0
all_candidate_role_plus_local_logistic	1	2023-05-30	0.25	0.25	0.5	8	440	6	0.013636363636363636	6	0.013636363636363636
all_candidate_role_plus_local_logistic	1	2023-05-30	0.25	0.25	0.75	8	440	6	0.013636363636363636	6	0.013636363636363636
all_candidate_role_plus_local_logistic	1	2023-05-30	0.25	0.25	0.9	8	440	6	0.013636363636363636	6	0.013636363636363636
all_candidate_role_plus_local_logistic	1	2023-05-30	0.25	0.5	0.5	8	440	3	0.006818181818181818	3	0.006818181818181818
all_candidate_role_plus_local_logistic	1	2023-05-30	0.25	0.5	0.75	8	440	3	0.006818181818181818	3	0.006818181818181818
all_candidate_role_plus_local_logistic	1	2023-05-30	0.25	0.5	0.9	8	440	3	0.006818181818181818	3	0.006818181818181818
all_candidate_role_plus_local_logistic	1	2023-05-30	0.25	0.75	0.5	8	440	2	0.004545454545454545	2	0.004545454545454545
all_candidate_role_plus_local_logistic	1	2023-05-30	0.25	0.75	0.75	8	440	2	0.004545454545454545	2	0.004545454545454545
all_candidate_role_plus_local_logistic	1	2023-05-30	0.25	0.75	0.9	8	440	2	0.004545454545454545	2	0.004545454545454545
