date	images	weed_instances	candidates	accepted_candidates	precision	many_to_one_spatial_recall	many_to_one_role_qualified_recall	one_to_one_role_qualified_recall	crop_overlap_scene_frequency
2023-05-25	8	392	304	158	0.4430379746835443	0.22448979591836735	0.17346938775510204	0.16071428571428573	0.75
2023-05-30	8	440	446	160	0.775	0.3977272727272727	0.32727272727272727	0.2818181818181818	0.0
2023-06-06	8	726	534	160	0.89375	0.31129476584022037	0.290633608815427	0.19696969696969696	0.0
2023-06-15	2	154	63	40	0.45	0.2012987012987013	0.19480519480519481	0.11688311688311688	0.0
