checkpoint	seed	images	plant_pixel_auc	plant_pixel_auc_image_sd	plant_pixel_ap	plant_pixel_ap_image_sd	foreground_probability_q99	foreground_probability_max	validation_selected_threshold	queue_threshold	spatial_recall	role_qualified_one_to_one_recall	candidate_precision	crop_exposure_image_frequency	candidates
1	20260810	60	0.3870544183343666	0.05940191342950333	0.04382978087302923	0.022799212836890678	0.013106988867123921	0.01844102640946706	0.5	0.01	0.03625377643504532	0.0	0.0	0.25	143
2	20260811	60	0.4930758138693185	0.04776510849291828	0.050908561338150124	0.025127638144730142	0.04070952236652374	0.22049356897672018	0.7	0.01	0.2719033232628399	0.04229607250755287	0.2736644798500469	0.8833333333333333	1182
3	20260812	60	0.6373820943896865	0.03460407175893253	0.0715270494505146	0.035387302072729485	0.01977846920490265	0.06125442783037822	0.3	0.01	0.1027190332326284	0.0	0.351985559566787	0.5	566
4	20260813	60	0.5513714973449547	0.06318996283194664	0.05774358890244539	0.030609778794364835	0.04980971415837606	0.21215620934963225	0.5	0.01	1.0	0.0	0.0	1.0	60
5	20260814	60	0.5978614479964055	0.06130161014982612	0.06766427704966804	0.035753400834566115	0.011754379669825236	0.03836422065893809	0.5	0.01	0.8610271903323263	0.0	0.0	1.0	383
