variant	ranker_weights	k	aggregation	stratum	images	accepted_candidates	weed_candidates	all_candidate_queue_precision	weed_truth_instances	spatial_recalled_weed_instances	queued_spatial_weed_instance_recall	role_qualified_recalled_weed_instances	queued_role_qualified_weed_instance_recall	one_to_one_spatial_matches	one_to_one_spatial_recall	one_to_one_role_qualified_matches	one_to_one_role_qualified_recall	crop_overlap_scene_numerator_0.00	crop_overlap_scene_frequency_0.00	crop_overlap_scene_numerator_0.01	crop_overlap_scene_frequency_0.01	crop_overlap_scene_numerator_0.10	crop_overlap_scene_frequency_0.10	crop_overlap_scene_numerator_0.50	crop_overlap_scene_frequency_0.50	short
original_T095_A032	identical	20	pooled_test	ALL	26	471	276	0.5859872611464968	1712	321	0.1875	205	0.1197429906542056	182	0.1063084112149532	166	0.0969626168224299	22	0.8461538461538461	22	0.8461538461538461	22	0.8461538461538461	19	0.7307692307692307	Original
commissioned_T070_A032	identical	20	pooled_test	ALL	26	520	247	0.475	1712	467	0.2727803738317757	273	0.1594626168224299	265	0.1547897196261682	201	0.1174065420560747	23	0.8846153846153846	23	0.8846153846153846	23	0.8846153846153846	16	0.6153846153846154	Commissioned
