panel	model	run_id	seed	all_candidate_precision	many_to_one_spatial_recall	many_to_one_role_qualified_recall	one_to_one_role_qualified_recall	crop_overlap_scene_frequency	mean_candidates_per_image	policy	images	weed_instances	candidates	accepted_candidates	candidate_AUC_diagnostic	candidate_AP_diagnostic	contrast	metric	estimate	ci95_low	ci95_high	cluster_unit	clusters	bootstrap_replicates	date	precision
d			20260810		0.37727272727272726	0.33636363636363636	0.3	0.0			8	440	405	160											2023-05-30	0.83125
d			20260810		0.2727272727272727	0.26584022038567495	0.209366391184573	0.0			8	726	549	160											2023-06-06	0.95625
d			20260810		0.2012987012987013	0.2012987012987013	0.11688311688311688	0.0			2	154	63	40											2023-06-15	0.525
d			20260811		0.13010204081632654	0.1096938775510204	0.10204081632653061	1.0			8	392	196	145											2023-05-25	0.3310344827586207
d			20260811		0.36363636363636365	0.325	0.2909090909090909	0.0			8	440	393	160											2023-05-30	0.86875
d			20260811		0.29201101928374656	0.2892561983471074	0.21349862258953167	0.0			8	726	538	160											2023-06-06	0.975
d			20260811		0.18181818181818182	0.18181818181818182	0.11688311688311688	0.0			2	154	61	40											2023-06-15	0.575
d			20260812		0.21428571428571427	0.17346938775510204	0.16326530612244897	0.75			8	392	301	159											2023-05-25	0.42138364779874216
d			20260812		0.37272727272727274	0.325	0.28863636363636364	0.0			8	440	457	160											2023-05-30	0.8
d			20260812		0.2231404958677686	0.21349862258953167	0.19559228650137742	0.0			8	726	558	160											2023-06-06	0.9125
d			20260812		0.14285714285714285	0.14285714285714285	0.09740259740259741	0.0			2	154	89	40											2023-06-15	0.4
d			20260813		0.18622448979591838	0.15816326530612246	0.15306122448979592	0.75			8	392	229	150											2023-05-25	0.4666666666666667
d			20260813		0.3704545454545455	0.33181818181818185	0.2909090909090909	0.0			8	440	416	160											2023-05-30	0.825
d			20260813		0.3347107438016529	0.3319559228650138	0.209366391184573	0.0			8	726	553	160											2023-06-06	0.96875
d			20260813		0.23376623376623376	0.23376623376623376	0.12337662337662338	0.0			2	154	69	40											2023-06-15	0.725
d			20260814		0.18112244897959184	0.14795918367346939	0.14030612244897958	0.625			8	392	258	156											2023-05-25	0.42948717948717946
d			20260814		0.325	0.2863636363636364	0.26136363636363635	0.0			8	440	444	160											2023-05-30	0.75625
