strategy	uses_labels_for_selection	repeat	seed	screened_training_pool	labels_revealed	selected_ids_sha256	selected_c	test_all_candidate_roc_auc	test_all_candidate_average_precision	aggregation	stratum	images	accepted_candidates	weed_candidates	all_candidate_queue_precision	weed_truth_instances	spatial_recalled_weed_instances	queued_spatial_weed_instance_recall	role_qualified_recalled_weed_instances	queued_role_qualified_weed_instance_recall	one_to_one_spatial_matches	one_to_one_spatial_recall	one_to_one_role_qualified_matches	one_to_one_role_qualified_recall	crop_overlap_scene_numerator_0.00	crop_overlap_scene_frequency_0.00	crop_overlap_scene_numerator_0.01	crop_overlap_scene_frequency_0.01	crop_overlap_scene_numerator_0.10	crop_overlap_scene_frequency_0.10	crop_overlap_scene_numerator_0.50	crop_overlap_scene_frequency_0.50
prospective_dinov2_coreset	0	3	2026081003	9887	300	1a1011c503492825a0d450ef417a0ada4c475709dc708cfa806998f6dfbc6e1a	0.01	0.9553261425725929	0.8568901892028569	pooled_test	ALL	26	520	272	0.5230769230769231	1712	427	0.2494158878504672	294	0.1717289719626168	284	0.1658878504672897	221	0.1290887850467289	12	0.4615384615384615	12	0.4615384615384615	12	0.4615384615384615	11	0.4230769230769231
retrospective_class_stratified	1	3	2026081003	9887	300	cfac908005287f2577fbfd059a801327180428dc383ec0b1158c0609b996b766	0.1	0.9505212616267382	0.8378784566742284	pooled_test	ALL	26	520	273	0.525	1712	433	0.2529205607476635	297	0.1734813084112149	290	0.169392523364486	223	0.1302570093457944	12	0.4615384615384615	12	0.4615384615384615	12	0.4615384615384615	11	0.4230769230769231
prospective_uniform	0	4	2026081004	9887	300	13a4509d33e06bd49f04d15d9d33984786e4fafcb2068c0513c7713ae263b2aa	0.01	0.9541691793213092	0.8543060637215135	pooled_test	ALL	26	520	273	0.525	1712	428	0.25	294	0.1717289719626168	284	0.1658878504672897	221	0.1290887850467289	12	0.4615384615384615	12	0.4615384615384615	12	0.4615384615384615	11	0.4230769230769231
prospective_dinov2_coreset	0	4	2026081004	9887	300	4d20c18892b90ab773e44cd072d244e569e4849f1cdfd42cfbd9473b64201dd7	0.01	0.9537020539809584	0.8538645502226071	pooled_test	ALL	26	520	270	0.5192307692307693	1712	421	0.245911214953271	286	0.1670560747663551	282	0.1647196261682243	218	0.1273364485981308	12	0.4615384615384615	12	0.4615384615384615	12	0.4615384615384615	11	0.4230769230769231
retrospective_class_stratified	1	4	2026081004	9887	300	ca7de02e1d776194299dfbc36b6c5a424cc49341fe61c478bf86b58e462d41f5	0.01	0.9568725672934596	0.8584209151956095	pooled_test	ALL	26	520	274	0.5269230769230769	1712	431	0.2517523364485981	296	0.1728971962616822	289	0.1688084112149532	223	0.1302570093457944	12	0.4615384615384615	12	0.4615384615384615	12	0.4615384615384615	11	0.4230769230769231
prospective_uniform	0	5	2026081005	9887	300	8b9bf6365be8235e67b96444d5783d7bde13f596ae451dc2a0a27c1a2ccdfcd9	0.01	0.9545278036657346	0.8553106818766765	pooled_test	ALL	26	520	273	0.525	1712	429	0.2505841121495327	295	0.1723130841121495	285	0.1664719626168224	222	0.1296728971962616	12	0.4615384615384615	12	0.4615384615384615	12	0.4615384615384615	11	0.4230769230769231
prospective_dinov2_coreset	0	5	2026081005	9887	300	8d6247f17e7fedce743095969d1dc8b438ee9952aa44efbd36c3c242b366979d	0.1	0.9494922153390712	0.8342282470383454	pooled_test	ALL	26	520	264	0.5076923076923077	1712	427	0.2494158878504672	292	0.1705607476635514	283	0.165303738317757	215	0.1255841121495327	12	0.4615384615384615	12	0.4615384615384615	12	0.4615384615384615	10	0.3846153846153846
retrospective_class_stratified	1	5	2026081005	9887	300	47d6f4bc39901dc3fcf0cbaf9750a5256c9bccba3f696afe15d9a70631830a1b	0.01	0.9574984467225848	0.8600115848062415	pooled_test	ALL	26	520	274	0.5269230769230769	1712	427	0.2494158878504672	295	0.1723130841121495	284	0.1658878504672897	221	0.1290887850467289	13	0.5	13	0.5	13	0.5	11	0.4230769230769231
prospective_uniform	0	6	2026081006	9887	300	0df13940fd5128c668240dbc710150074afd4baa83852af5ba78c12b57200e72	0.01	0.9542879593589532	0.8549761011570012	pooled_test	ALL	26	520	271	0.5211538461538462	1712	431	0.2517523364485981	293	0.1711448598130841	288	0.1682242990654205	221	0.1290887850467289	12	0.4615384615384615	12	0.4615384615384615	12	0.4615384615384615	11	0.4230769230769231
prospective_dinov2_coreset	0	6	2026081006	9887	300	90c10a0eef1815c788c4ad97bb9807b86f4d522d128f84eecbfcbe26757c5542	0.1	0.948502000986788	0.8355754156556667	pooled_test	ALL	26	520	271	0.5211538461538462	1712	427	0.2494158878504672	296	0.1728971962616822	285	0.1664719626168224	221	0.1290887850467289	12	0.4615384615384615	12	0.4615384615384615	12	0.4615384615384615	10	0.3846153846153846
