model	instance_coverage	candidate_labeled_coverage	same_role_purity	seeds	mean_candidate_precision	sd_candidate_precision	mean_spatial_recall	sd_spatial_recall	mean_set_coverage_recall	sd_set_coverage_recall	mean_one_to_one_recall	sd_one_to_one_recall	mean_crop_exposure_scene_frequency_at_0.00	sd_crop_exposure_scene_frequency_at_0.00	mean_crop_exposure_scene_frequency_at_0.01	sd_crop_exposure_scene_frequency_at_0.01	mean_crop_exposure_scene_frequency_at_0.10	sd_crop_exposure_scene_frequency_at_0.10
DeepLabV3+--ResNet50	0.25	0.25	0.5	3	0.7794265998660598	0.005916115143861025	0.2852414330218069	0.011179810918968509	0.28309968847352024	0.011421346866092256	0.22916666666666666	0.003321402279834885	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
DeepLabV3+--ResNet50	0.25	0.25	0.75	3	0.7794265998660598	0.005916115143861025	0.2852414330218069	0.011179810918968509	0.28309968847352024	0.011421346866092256	0.22916666666666666	0.003321402279834885	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
DeepLabV3+--ResNet50	0.25	0.25	0.9	3	0.7794265998660598	0.005916115143861025	0.2852414330218069	0.011179810918968509	0.28309968847352024	0.011421346866092256	0.22916666666666666	0.003321402279834885	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
DeepLabV3+--ResNet50	0.25	0.5	0.5	3	0.6831539952090241	0.004212319378450321	0.2852414330218069	0.011179810918968509	0.2521417445482866	0.008787604436446082	0.20054517133956384	0.0012159264015573195	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
DeepLabV3+--ResNet50	0.25	0.5	0.75	3	0.6831539952090241	0.004212319378450321	0.2852414330218069	0.011179810918968509	0.2521417445482866	0.008787604436446082	0.20054517133956384	0.0012159264015573195	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
DeepLabV3+--ResNet50	0.25	0.5	0.9	3	0.6831539952090241	0.004212319378450321	0.2852414330218069	0.011179810918968509	0.2521417445482866	0.008787604436446082	0.20054517133956384	0.0012159264015573195	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
DeepLabV3+--ResNet50	0.25	0.75	0.5	3	0.27269427776268235	0.0321610867143312	0.2852414330218069	0.011179810918968509	0.10747663551401869	0.006634238721729295	0.07963395638629284	0.008941559581935384	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
DeepLabV3+--ResNet50	0.25	0.75	0.75	3	0.27269427776268235	0.0321610867143312	0.2852414330218069	0.011179810918968509	0.10747663551401869	0.006634238721729295	0.07963395638629284	0.008941559581935384	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
DeepLabV3+--ResNet50	0.25	0.75	0.9	3	0.27269427776268235	0.0321610867143312	0.2852414330218069	0.011179810918968509	0.10747663551401869	0.006634238721729295	0.07963395638629284	0.008941559581935384	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
DeepLabV3+--ResNet50	0.5	0.25	0.5	3	0.7794265998660598	0.005916115143861025	0.2710280373831776	0.010659046490008553	0.26966510903426794	0.011057064536215513	0.21806853582554517	0.005551626724837713	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
DeepLabV3+--ResNet50	0.5	0.25	0.75	3	0.7794265998660598	0.005916115143861025	0.2710280373831776	0.010659046490008553	0.26966510903426794	0.011057064536215513	0.21806853582554517	0.005551626724837713	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
DeepLabV3+--ResNet50	0.5	0.25	0.9	3	0.7794265998660598	0.005916115143861025	0.2710280373831776	0.010659046490008553	0.26966510903426794	0.011057064536215513	0.21806853582554517	0.005551626724837713	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
DeepLabV3+--ResNet50	0.5	0.5	0.5	3	0.6831539952090241	0.004212319378450321	0.2710280373831776	0.010659046490008553	0.24201713395638627	0.009442644589549942	0.19236760124610588	0.0032170388710783373	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
DeepLabV3+--ResNet50	0.5	0.5	0.75	3	0.6831539952090241	0.004212319378450321	0.2710280373831776	0.010659046490008553	0.24201713395638627	0.009442644589549942	0.19236760124610588	0.0032170388710783373	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
DeepLabV3+--ResNet50	0.5	0.5	0.9	3	0.6831539952090241	0.004212319378450321	0.2710280373831776	0.010659046490008553	0.24201713395638627	0.009442644589549942	0.19236760124610588	0.0032170388710783373	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
DeepLabV3+--ResNet50	0.5	0.75	0.5	3	0.27269427776268235	0.0321610867143312	0.2710280373831776	0.010659046490008553	0.10358255451713395	0.004898654838554958	0.07612928348909657	0.006968664395706105	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
DeepLabV3+--ResNet50	0.5	0.75	0.75	3	0.27269427776268235	0.0321610867143312	0.2710280373831776	0.010659046490008553	0.10358255451713395	0.004898654838554958	0.07612928348909657	0.006968664395706105	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
DeepLabV3+--ResNet50	0.5	0.75	0.9	3	0.27269427776268235	0.0321610867143312	0.2710280373831776	0.010659046490008553	0.10358255451713395	0.004898654838554958	0.07612928348909657	0.006968664395706105	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
DeepLabV3+--ResNet50	0.75	0.25	0.5	3	0.7794265998660598	0.005916115143861025	0.22390965732087229	0.015807043220245166	0.2231308411214953	0.01628196245883921	0.17718068535825546	0.007756458055701761	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
DeepLabV3+--ResNet50	0.75	0.25	0.75	3	0.7794265998660598	0.005916115143861025	0.22390965732087229	0.015807043220245166	0.2231308411214953	0.01628196245883921	0.17718068535825546	0.007756458055701761	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
DeepLabV3+--ResNet50	0.75	0.25	0.9	3	0.7794265998660598	0.005916115143861025	0.22390965732087229	0.015807043220245166	0.2231308411214953	0.01628196245883921	0.17718068535825546	0.007756458055701761	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
DeepLabV3+--ResNet50	0.75	0.5	0.5	3	0.6831539952090241	0.004212319378450321	0.22390965732087229	0.015807043220245166	0.2028816199376947	0.01652462803171242	0.15868380062305296	0.00874869234371532	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
DeepLabV3+--ResNet50	0.75	0.5	0.75	3	0.6831539952090241	0.004212319378450321	0.22390965732087229	0.015807043220245166	0.2028816199376947	0.01652462803171242	0.15868380062305296	0.00874869234371532	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
DeepLabV3+--ResNet50	0.75	0.5	0.9	3	0.6831539952090241	0.004212319378450321	0.22390965732087229	0.015807043220245166	0.2028816199376947	0.01652462803171242	0.15868380062305296	0.00874869234371532	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
