model	seed	metric	recomputed	archived	absolute_difference	exact_within_1e_12
Mask R-CNN--ResNet50-FPN-v2	20260821	spatial_recall	0.2371495327102804	0.2371495327102804	0.0	1
Mask R-CNN--ResNet50-FPN-v2	20260821	set_coverage_recall	0.22546728971962618	0.22546728971962618	0.0	1
Mask R-CNN--ResNet50-FPN-v2	20260821	one_to_one_recall	0.21320093457943926	0.21320093457943926	0.0	1
Mask R-CNN--ResNet50-FPN-v2	20260821	crop_exposure_at_0.00	0.15384615384615385	0.15384615384615385	0.0	1
Mask R-CNN--ResNet50-FPN-v2	20260822	accepted_candidates	520.0	520.0	0.0	1
Mask R-CNN--ResNet50-FPN-v2	20260822	candidate_precision	0.7730769230769231	0.7730769230769231	0.0	1
Mask R-CNN--ResNet50-FPN-v2	20260822	spatial_recall	0.24182242990654207	0.24182242990654207	0.0	1
Mask R-CNN--ResNet50-FPN-v2	20260822	set_coverage_recall	0.2207943925233645	0.2207943925233645	0.0	1
Mask R-CNN--ResNet50-FPN-v2	20260822	one_to_one_recall	0.21436915887850466	0.21436915887850466	0.0	1
Mask R-CNN--ResNet50-FPN-v2	20260822	crop_exposure_at_0.00	0.3076923076923077	0.3076923076923077	0.0	1
