variant	global_N	images	weed_instances	accepted_candidates	mean_candidates_per_image	all_candidate_precision	many_to_one_spatial_recall	many_to_one_role_qualified_recall	one_to_one_role_qualified_recall	crop_overlap_scene_frequency
commissioned_T070_A032	26	26	1712	26	1.0	0.8076923076923077	0.07593457943925233	0.015186915887850467	0.009345794392523364	0.15384615384615385
original_T095_A032	27	26	1712	27	1.0384615384615385	0.7777777777777778	0.014018691588785047	0.012850467289719626	0.007009345794392523	0.19230769230769232
commissioned_T070_A032	27	26	1712	27	1.0384615384615385	0.8148148148148148	0.07651869158878505	0.015771028037383176	0.009929906542056074	0.15384615384615385
original_T095_A032	28	26	1712	28	1.0769230769230769	0.7857142857142857	0.014018691588785047	0.012850467289719626	0.007009345794392523	0.19230769230769232
commissioned_T070_A032	28	26	1712	28	1.0769230769230769	0.8214285714285714	0.08060747663551401	0.01985981308411215	0.010514018691588784	0.15384615384615385
original_T095_A032	29	26	1712	29	1.1153846153846154	0.7931034482758621	0.014602803738317757	0.013434579439252336	0.007593457943925234	0.19230769230769232
commissioned_T070_A032	29	26	1712	29	1.1153846153846154	0.8275862068965517	0.08119158878504673	0.02044392523364486	0.011098130841121495	0.15384615384615385
original_T095_A032	30	26	1712	30	1.1538461538461537	0.8	0.015186915887850467	0.014018691588785047	0.008177570093457943	0.19230769230769232
commissioned_T070_A032	30	26	1712	30	1.1538461538461537	0.8333333333333334	0.08177570093457943	0.02102803738317757	0.011682242990654205	0.15384615384615385
original_T095_A032	31	26	1712	31	1.1923076923076923	0.8064516129032258	0.015186915887850467	0.014018691588785047	0.008177570093457943	0.19230769230769232
commissioned_T070_A032	31	26	1712	31	1.1923076923076923	0.8387096774193549	0.08411214953271028	0.02336448598130841	0.012266355140186916	0.15384615384615385
original_T095_A032	32	26	1712	32	1.2307692307692308	0.8125	0.015771028037383176	0.014602803738317757	0.008761682242990653	0.19230769230769232
commissioned_T070_A032	32	26	1712	32	1.2307692307692308	0.84375	0.084696261682243	0.02394859813084112	0.012850467289719626	0.15384615384615385
original_T095_A032	33	26	1712	33	1.2692307692307692	0.8181818181818182	0.016355140186915886	0.015186915887850467	0.009345794392523364	0.19230769230769232
commissioned_T070_A032	33	26	1712	33	1.2692307692307692	0.8181818181818182	0.08878504672897196	0.02394859813084112	0.012850467289719626	0.15384615384615385
