ranker_scheme	instance_coverage	candidate_labeled_coverage	same_role_purity	commissioned_minus_original_accepted_candidates	commissioned_minus_original_candidate_precision	commissioned_minus_original_spatial_recall	commissioned_minus_original_set_coverage_recall	commissioned_minus_original_one_to_one_recall	commissioned_minus_original_crop_exposure_scene_frequency_at_0.00	commissioned_minus_original_crop_exposure_scene_frequency_at_0.01	commissioned_minus_original_crop_exposure_scene_frequency_at_0.10
commissioned_only_shared	0.25	0.25	0.5	0.0	0.02123142250530785	0.04614485981308411	0.04322429906542055	0.019859813084112166	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.25	0.25	0.75	0.0	0.01273885350318471	0.04614485981308411	0.036214953271028055	0.017523364485981296	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.25	0.25	0.9	0.0	0.01273885350318471	0.04614485981308411	0.030373831775700938	0.017523364485981324	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.25	0.5	0.5	0.0	-0.05944798301486198	0.04614485981308411	0.018107476635514014	-0.003504672897196276	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.25	0.5	0.75	0.0	-0.06794055201698512	0.04614485981308411	0.01109813084112149	-0.00584112149532709	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.25	0.5	0.9	0.0	-0.06794055201698512	0.04614485981308411	0.0052570093457944	-0.005841121495327117	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.25	0.75	0.5	0.0	-0.17409766454352443	0.04614485981308411	-0.05490654205607476	-0.03679906542056076	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.25	0.75	0.75	0.0	-0.17409766454352443	0.04614485981308411	-0.03796728971962615	-0.03679906542056076	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.25	0.75	0.9	0.0	-0.17409766454352443	0.04614485981308411	-0.04380841121495327	-0.03679906542056075	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.5	0.25	0.5	0.0	0.02123142250530785	0.08177570093457942	0.07710280373831777	0.042640186915887834	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.5	0.25	0.75	0.0	0.01273885350318471	0.08177570093457942	0.0677570093457944	0.04030373831775701	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.5	0.25	0.9	0.0	0.01273885350318471	0.08177570093457942	0.060747663551401876	0.04030373831775699	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.5	0.5	0.5	0.0	-0.05944798301486198	0.08177570093457942	0.05373831775700935	0.021028037383177572	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.5	0.5	0.75	0.0	-0.06794055201698512	0.08177570093457942	0.044392523364485986	0.01869158878504673	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.5	0.5	0.9	0.0	-0.06794055201698512	0.08177570093457942	0.03738317757009345	0.01869158878504673	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.5	0.75	0.5	0.0	-0.17409766454352443	0.08177570093457942	-0.02161214953271029	-0.013434579439252331	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.5	0.75	0.75	0.0	-0.17409766454352443	0.08177570093457942	-0.007009345794392524	-0.013434579439252331	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.5	0.75	0.9	0.0	-0.17409766454352443	0.08177570093457942	-0.014018691588785048	-0.013434579439252331	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.75	0.25	0.5	0.0	0.02123142250530785	0.09637850467289719	0.09170560747663552	0.05724299065420561	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.75	0.25	0.75	0.0	0.01273885350318471	0.09637850467289719	0.08177570093457943	0.054906542056074766	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.75	0.25	0.9	0.0	0.01273885350318471	0.09637850467289719	0.07535046728971964	0.05549065420560748	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.75	0.5	0.5	0.0	-0.05944798301486198	0.09637850467289719	0.07184579439252337	0.03913551401869159	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.75	0.5	0.75	0.0	-0.06794055201698512	0.09637850467289719	0.06191588785046728	0.03679906542056075	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.75	0.5	0.9	0.0	-0.06794055201698512	0.09637850467289719	0.055490654205607476	0.037383177570093455	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.75	0.75	0.5	0.0	-0.17409766454352443	0.09637850467289719	-0.0058411214953271035	-0.001752336448598131	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.75	0.75	0.75	0.0	-0.17409766454352443	0.09637850467289719	0.005257009345794386	-0.001752336448598131	0.038461538461538436	0.038461538461538436	0.038461538461538436
commissioned_only_shared	0.75	0.75	0.9	0.0	-0.17409766454352443	0.09637850467289719	-0.0011682242990654207	-0.0011682242990654172	0.038461538461538436	0.038461538461538436	0.038461538461538436
original_only_shared	0.25	0.25	0.5	0.0	-0.3503184713375796	-0.16880841121495327	-0.16764018691588786	-0.08235981308411214	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.25	0.25	0.75	0.0	-0.346072186836518	-0.16880841121495327	-0.14018691588785048	-0.08119158878504673	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.25	0.25	0.9	0.0	-0.34182590233545646	-0.16880841121495327	-0.10572429906542058	-0.0800233644859813	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.25	0.5	0.5	0.0	-0.35881104033970274	-0.16880841121495327	-0.16939252336448596	-0.08469626168224301	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.25	0.5	0.75	0.0	-0.35456475583864117	-0.16880841121495327	-0.1419392523364486	-0.08352803738317757	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.25	0.5	0.9	0.0	-0.3503184713375796	-0.16880841121495327	-0.10747663551401869	-0.08235981308411217	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.25	0.75	0.5	0.0	-0.2887473460721869	-0.16880841121495327	-0.14953271028037382	-0.06658878504672897	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.25	0.75	0.75	0.0	-0.2845010615711253	-0.16880841121495327	-0.12207943925233644	-0.06542056074766354	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.25	0.75	0.9	0.0	-0.28025477707006374	-0.16880841121495327	-0.08761682242990654	-0.06425233644859812	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.5	0.25	0.5	0.0	-0.3503184713375796	-0.12675233644859812	-0.12558411214953272	-0.05257009345794393	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.5	0.25	0.75	0.0	-0.346072186836518	-0.12675233644859812	-0.1010514018691589	-0.05140186915887851	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.5	0.25	0.9	0.0	-0.34182590233545646	-0.12675233644859812	-0.0689252336448598	-0.05023364485981309	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.5	0.5	0.5	0.0	-0.35881104033970274	-0.12675233644859812	-0.1261682242990654	-0.05373831775700935	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.5	0.5	0.75	0.0	-0.35456475583864117	-0.12675233644859812	-0.10163551401869159	-0.05257009345794393	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.5	0.5	0.9	0.0	-0.3503184713375796	-0.12675233644859812	-0.06950934579439252	-0.05140186915887851	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.5	0.75	0.5	0.0	-0.2887473460721869	-0.12675233644859812	-0.10922897196261681	-0.03738317757009346	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.5	0.75	0.75	0.0	-0.2845010615711253	-0.12675233644859812	-0.084696261682243	-0.03621495327102804	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.5	0.75	0.9	0.0	-0.28025477707006374	-0.12675233644859812	-0.05257009345794393	-0.03504672897196262	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.75	0.25	0.5	0.0	-0.3503184713375796	-0.09287383177570094	-0.09228971962616823	-0.035630841121495324	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.75	0.25	0.75	0.0	-0.346072186836518	-0.09287383177570094	-0.0735981308411215	-0.0344626168224299	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.75	0.25	0.9	0.0	-0.34182590233545646	-0.09287383177570094	-0.04439252336448598	-0.03329439252336448	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.75	0.5	0.5	0.0	-0.35881104033970274	-0.09287383177570094	-0.0899532710280374	-0.03387850467289719	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.75	0.5	0.75	0.0	-0.35456475583864117	-0.09287383177570094	-0.07126168224299066	-0.03271028037383177	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.75	0.5	0.9	0.0	-0.3503184713375796	-0.09287383177570094	-0.04205607476635514	-0.03154205607476635	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.75	0.75	0.5	0.0	-0.2887473460721869	-0.09287383177570094	-0.07885514018691589	-0.02336448598130841	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.75	0.75	0.75	0.0	-0.2845010615711253	-0.09287383177570094	-0.06016355140186916	-0.02219626168224299	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
original_only_shared	0.75	0.75	0.9	0.0	-0.28025477707006374	-0.09287383177570094	-0.03095794392523364	-0.02102803738317757	-0.5384615384615385	-0.5384615384615385	-0.5384615384615385
union_shared	0.25	0.25	0.5	0.0	0.010615711252653925	0.04614485981308411	0.04030373831775702	0.018107476635514014	0.0	0.0	0.0
union_shared	0.25	0.25	0.75	0.0	0.00424628450106157	0.04614485981308411	0.033878504672897214	0.01635514018691589	0.0	0.0	0.0
union_shared	0.25	0.25	0.9	0.0	0.00424628450106157	0.04614485981308411	0.028037383177570097	0.01635514018691589	0.0	0.0	0.0
union_shared	0.25	0.5	0.5	0.0	-0.06369426751592355	0.04614485981308411	0.016939252336448607	-0.003504672897196248	0.0	0.0	0.0
union_shared	0.25	0.5	0.75	0.0	-0.07006369426751591	0.04614485981308411	0.010514018691588772	-0.0052570093457944	0.0	0.0	0.0
union_shared	0.25	0.5	0.9	0.0	-0.07006369426751591	0.04614485981308411	0.004672897196261683	-0.0052570093457944	0.0	0.0	0.0
union_shared	0.25	0.75	0.5	0.0	-0.17409766454352443	0.04614485981308411	-0.055490654205607476	-0.03679906542056076	0.0	0.0	0.0
union_shared	0.25	0.75	0.75	0.0	-0.17197452229299365	0.04614485981308411	-0.03796728971962618	-0.03621495327102804	0.0	0.0	0.0
union_shared	0.25	0.75	0.9	0.0	-0.17197452229299365	0.04614485981308411	-0.043808411214953255	-0.03621495327102804	0.0	0.0	0.0
union_shared	0.5	0.25	0.5	0.0	0.010615711252653925	0.08469626168224298	0.07651869158878505	0.04380841121495328	0.0	0.0	0.0
union_shared	0.5	0.25	0.75	0.0	0.00424628450106157	0.08469626168224298	0.0677570093457944	0.042056074766355145	0.0	0.0	0.0
union_shared	0.5	0.25	0.9	0.0	0.00424628450106157	0.08469626168224298	0.060747663551401876	0.04205607476635513	0.0	0.0	0.0
union_shared	0.5	0.5	0.5	0.0	-0.06369426751592355	0.08469626168224298	0.05373831775700935	0.02278037383177571	0.0	0.0	0.0
union_shared	0.5	0.5	0.75	0.0	-0.07006369426751591	0.08469626168224298	0.044976635514018704	0.021028037383177572	0.0	0.0	0.0
union_shared	0.5	0.5	0.9	0.0	-0.07006369426751591	0.08469626168224298	0.037967289719626166	0.021028037383177572	0.0	0.0	0.0
union_shared	0.5	0.75	0.5	0.0	-0.17409766454352443	0.08469626168224298	-0.021028037383177572	-0.011682242990654207	0.0	0.0	0.0
union_shared	0.5	0.75	0.75	0.0	-0.17197452229299365	0.08469626168224298	-0.0058411214953271035	-0.011098130841121497	0.0	0.0	0.0
union_shared	0.5	0.75	0.9	0.0	-0.17197452229299365	0.08469626168224298	-0.012850467289719628	-0.011098130841121497	0.0	0.0	0.0
union_shared	0.75	0.25	0.5	0.0	0.010615711252653925	0.10280373831775699	0.09404205607476636	0.06016355140186916	0.0	0.0	0.0
union_shared	0.75	0.25	0.75	0.0	0.00424628450106157	0.10280373831775699	0.084696261682243	0.058411214953271035	0.0	0.0	0.0
union_shared	0.75	0.25	0.9	0.0	0.00424628450106157	0.10280373831775699	0.07827102803738317	0.05899532710280374	0.0	0.0	0.0
union_shared	0.75	0.5	0.5	0.0	-0.06369426751592355	0.10280373831775699	0.07301401869158879	0.04088785046728972	0.0	0.0	0.0
union_shared	0.75	0.5	0.75	0.0	-0.07006369426751591	0.10280373831775699	0.06366822429906542	0.03913551401869159	0.0	0.0	0.0
union_shared	0.75	0.5	0.9	0.0	-0.07006369426751591	0.10280373831775699	0.0572429906542056	0.0397196261682243	0.0	0.0	0.0
union_shared	0.75	0.75	0.5	0.0	-0.17409766454352443	0.10280373831775699	-0.004672897196261683	-0.0005841121495327103	0.0	0.0	0.0
union_shared	0.75	0.75	0.75	0.0	-0.17197452229299365	0.10280373831775699	0.007009345794392524	0.0	0.0	0.0	0.0
union_shared	0.75	0.75	0.9	0.0	-0.17197452229299365	0.10280373831775699	0.0005841121495327103	0.0005841121495327103	0.0	0.0	0.0
reciprocal_cross_pool	0.25	0.25	0.5	0.0	-0.3503184713375796	-0.18866822429906543	-0.18282710280373832	-0.08936915887850466	-0.5769230769230769	-0.5769230769230769	-0.5769230769230769
reciprocal_cross_pool	0.25	0.25	0.75	0.0	-0.346072186836518	-0.18866822429906543	-0.15537383177570094	-0.08820093457943926	-0.5769230769230769	-0.5769230769230769	-0.5769230769230769
reciprocal_cross_pool	0.25	0.25	0.9	0.0	-0.34182590233545646	-0.18866822429906543	-0.12091121495327103	-0.08703271028037382	-0.5769230769230769	-0.5769230769230769	-0.5769230769230769
reciprocal_cross_pool	0.25	0.5	0.5	0.0	-0.35668789808917195	-0.18866822429906543	-0.18399532710280375	-0.09112149532710281	-0.5769230769230769	-0.5769230769230769	-0.5769230769230769
reciprocal_cross_pool	0.25	0.5	0.75	0.0	-0.3524416135881104	-0.18866822429906543	-0.15654205607476634	-0.08995327102803738	-0.5769230769230769	-0.5769230769230769	-0.5769230769230769
reciprocal_cross_pool	0.25	0.5	0.9	0.0	-0.3481953290870488	-0.18866822429906543	-0.12207943925233646	-0.08878504672897197	-0.5769230769230769	-0.5769230769230769	-0.5769230769230769
reciprocal_cross_pool	0.25	0.75	0.5	0.0	-0.28237791932059453	-0.18866822429906543	-0.15829439252336447	-0.07067757009345794	-0.5769230769230769	-0.5769230769230769	-0.5769230769230769
reciprocal_cross_pool	0.25	0.75	0.75	0.0	-0.27813163481953296	-0.18866822429906543	-0.1308411214953271	-0.06950934579439252	-0.5769230769230769	-0.5769230769230769	-0.5769230769230769
reciprocal_cross_pool	0.25	0.75	0.9	0.0	-0.2738853503184714	-0.18866822429906543	-0.09637850467289719	-0.0683411214953271	-0.5769230769230769	-0.5769230769230769	-0.5769230769230769
reciprocal_cross_pool	0.5	0.25	0.5	0.0	-0.3503184713375796	-0.14602803738317757	-0.1413551401869159	-0.06425233644859814	-0.5769230769230769	-0.5769230769230769	-0.5769230769230769
reciprocal_cross_pool	0.5	0.25	0.75	0.0	-0.346072186836518	-0.14602803738317757	-0.11682242990654207	-0.06308411214953272	-0.5769230769230769	-0.5769230769230769	-0.5769230769230769
reciprocal_cross_pool	0.5	0.25	0.9	0.0	-0.34182590233545646	-0.14602803738317757	-0.08469626168224301	-0.0619158878504673	-0.5769230769230769	-0.5769230769230769	-0.5769230769230769
reciprocal_cross_pool	0.5	0.5	0.5	0.0	-0.35668789808917195	-0.14602803738317757	-0.1413551401869159	-0.06483644859813084	-0.5769230769230769	-0.5769230769230769	-0.5769230769230769
reciprocal_cross_pool	0.5	0.5	0.75	0.0	-0.3524416135881104	-0.14602803738317757	-0.11682242990654204	-0.06366822429906542	-0.5769230769230769	-0.5769230769230769	-0.5769230769230769
reciprocal_cross_pool	0.5	0.5	0.9	0.0	-0.3481953290870488	-0.14602803738317757	-0.08469626168224301	-0.0625	-0.5769230769230769	-0.5769230769230769	-0.5769230769230769
reciprocal_cross_pool	0.5	0.75	0.5	0.0	-0.28237791932059453	-0.14602803738317757	-0.12032710280373833	-0.04614485981308411	-0.5769230769230769	-0.5769230769230769	-0.5769230769230769
reciprocal_cross_pool	0.5	0.75	0.75	0.0	-0.27813163481953296	-0.14602803738317757	-0.0957943925233645	-0.04497663551401869	-0.5769230769230769	-0.5769230769230769	-0.5769230769230769
reciprocal_cross_pool	0.5	0.75	0.9	0.0	-0.2738853503184714	-0.14602803738317757	-0.06366822429906542	-0.04380841121495327	-0.5769230769230769	-0.5769230769230769	-0.5769230769230769
reciprocal_cross_pool	0.75	0.25	0.5	0.0	-0.3503184713375796	-0.11039719626168225	-0.10689252336448599	-0.04614485981308411	-0.5769230769230769	-0.5769230769230769	-0.5769230769230769
reciprocal_cross_pool	0.75	0.25	0.75	0.0	-0.346072186836518	-0.11039719626168225	-0.08820093457943926	-0.04497663551401869	-0.5769230769230769	-0.5769230769230769	-0.5769230769230769
reciprocal_cross_pool	0.75	0.25	0.9	0.0	-0.34182590233545646	-0.11039719626168225	-0.05899532710280373	-0.04380841121495327	-0.5769230769230769	-0.5769230769230769	-0.5769230769230769
reciprocal_cross_pool	0.75	0.5	0.5	0.0	-0.35668789808917195	-0.11039719626168225	-0.10397196261682244	-0.04380841121495327	-0.5769230769230769	-0.5769230769230769	-0.5769230769230769
reciprocal_cross_pool	0.75	0.5	0.75	0.0	-0.3524416135881104	-0.11039719626168225	-0.08528037383177571	-0.04264018691588785	-0.5769230769230769	-0.5769230769230769	-0.5769230769230769
reciprocal_cross_pool	0.75	0.5	0.9	0.0	-0.3481953290870488	-0.11039719626168225	-0.056074766355140186	-0.04147196261682243	-0.5769230769230769	-0.5769230769230769	-0.5769230769230769
reciprocal_cross_pool	0.75	0.75	0.5	0.0	-0.28237791932059453	-0.11039719626168225	-0.08703271028037383	-0.0286214953271028	-0.5769230769230769	-0.5769230769230769	-0.5769230769230769
