seed	image_id	pixels	plant_pixels	weed_pixels	plant_pixel_auc	plant_pixel_ap	plant_pixel_brier	weed_pixel_auc	weed_pixel_ap	weed_pixel_brier	conditional_crop_vs_weed_auc_on_labeled_plant_pixels	conditional_crop_vs_weed_ap_on_labeled_plant_pixels	maximum_class_probability_q50	maximum_class_probability_q90	maximum_class_probability_q99	foreground_probability_q50	foreground_probability_q90	foreground_probability_q99	foreground_probability_max	weed_probability_q99	weed_probability_max
20260810	001	360000	43782	37203	0.3532167219155781	0.09322441645040243	0.12004826217889786	0.2577123517571739	0.0727100812584695	0.10261597484350204	0.23133258881997648	0.7548413964249111	0.9933338761329651	0.9948219060897827	0.9971123933792114	0.006666123867034912	0.010376513004302979	0.013105988502502441	0.018548786640167236	0.007534148171544075	0.013151454739272594
20260810	002	360000	26642	23882	0.3748445678791258	0.05675172305151377	0.07305525243282318	0.2874823364462622	0.04584972021466871	0.06586743891239166	0.18161190163230084	0.8161899559238931	0.9933338761329651	0.9948219060897827	0.9971229434013367	0.006666123867034912	0.010376513004302979	0.013105988502502441	0.018466651439666748	0.007533473894000053	0.013152554631233215
20260810	003	360000	21022	15667	0.34246639048825356	0.04277978546626113	0.057670433074235916	0.23762334428992507	0.02847609626373157	0.0432237833738327	0.2276276438960086	0.6324611153530558	0.9933338761329651	0.9948219060897827	0.9971569776535034	0.006666123867034912	0.010376513004302979	0.013105988502502441	0.018086612224578857	0.007533473894000053	0.012852850370109081
20260810	004	360000	29333	26791	0.40409509231657287	0.0666571713921109	0.08039961010217667	0.3347473712580762	0.055321750627222534	0.07386484742164612	0.3582352332407507	0.8932288683850215	0.9933338761329651	0.9948219060897827	0.9971144199371338	0.006666123867034912	0.010376513004302979	0.013105988502502441	0.018548786640167236	0.007534148171544075	0.013151454739272594
20260810	005	360000	10568	8353	0.47268352288820514	0.027224787031630844	0.028990451246500015	0.39043122487414184	0.018592118078181525	0.02304224669933319	0.33097520551273263	0.7498047101988756	0.9933338761329651	0.9948219060897827	0.9971569776535034	0.006666123867034912	0.010443627834320068	0.013105988502502441	0.018548786640167236	0.007533473894000053	0.013151454739272594
20260810	006	360000	19500	11532	0.3629118433675967	0.04130186465769176	0.05349091812968254	0.2491904375254777	0.021638762128242426	0.031819116324186325	0.35344251616246464	0.5154544329018784	0.9933338761329651	0.9948219060897827	0.9971358776092529	0.006666123867034912	0.010471045970916748	0.013105988502502441	0.018548786640167236	0.007534148171544075	0.013151454739272594
20260810	007	360000	40121	31356	0.35178972435096434	0.08560891920427068	0.11001374572515488	0.2909162908717558	0.06231389808346968	0.08648267388343811	0.5021407290634458	0.7711502033643931	0.9933338761329651	0.9948219060897827	0.9971358776092529	0.006666123867034912	0.010376513004302979	0.013105988502502441	0.018650054931640625	0.007533473894000053	0.013253235258162022
20260810	008	360000	19899	17226	0.4333727240849388	0.04851066427448019	0.054562758654356	0.37604394539523506	0.038077299576759885	0.04749828949570656	0.6781090247652422	0.9273369912787905	0.9933338761329651	0.9948219060897827	0.9970909357070923	0.006666123867034912	0.010326862335205078	0.013105988502502441	0.018548786640167236	0.007477904204279184	0.013151454739272594
20260810	009	360000	19344	14311	0.3874803996712139	0.04244155598316596	0.053063612431287766	0.27953776180632395	0.027553384336826022	0.03948142006993294	0.2963988857941194	0.6385832706315449	0.9933338761329651	0.9948219060897827	0.9971369504928589	0.006666123867034912	0.010436821728944778	0.013134181499481201	0.018466651439666748	0.007534148171544075	0.013152554631233215
20260810	010	360000	17916	14497	0.4151095986599182	0.041407012962015016	0.04914411902427673	0.29410111483685675	0.028826969265070154	0.03998999297618866	0.23267436618841958	0.7112597795276727	0.9933338761329651	0.9948219060897827	0.9971569776535034	0.006666123867034912	0.010326862335205078	0.013105988502502441	0.01826655864715576	0.007533473894000053	0.012951282784342766
