model	seeds	mean_mAP_IoU_0.50_0.95	sd_mAP_IoU_0.50_0.95	mean_AP_IoU_0.50	sd_AP_IoU_0.50	mean_AP_IoU_0.75	sd_AP_IoU_0.75	mean_AR100_IoU_0.50_0.95	sd_AR100_IoU_0.50_0.95	mean_AR100_IoU_0.50	sd_AR100_IoU_0.50	mean_AR100_IoU_0.75	sd_AR100_IoU_0.75	mean_queue_AR20_IoU_0.50_0.95	sd_queue_AR20_IoU_0.50_0.95	mean_queue_AR20_IoU_0.50	sd_queue_AR20_IoU_0.50	mean_queue_AR20_IoU_0.75	sd_queue_AR20_IoU_0.75	mean_queue_PQ_style	sd_queue_PQ_style	mean_queue_SQ_style	sd_queue_SQ_style	mean_queue_RQ_style	sd_queue_RQ_style
DeepLabV3+--ResNet50	3	0.04989127645004432	0.002592567332764047	0.19371550950791136	0.006001294472825227	0.0092783666458097	0.0033884887190652586	0.10097352024922118	0.005366949236096136	0.2949766355140187	0.008114745320940291	0.04848130841121495	0.00673630992679369	0.051674454828660434	0.0013143605009141438	0.1456386292834891	0.004461230232628347	0.026869158878504672	0.003252198810064265	0.14636153844537728	0.0022637267873427103	0.6544573376682877	0.006741318958513061	0.22366581934352125	0.0050134602092480485
Mask R-CNN--ResNet50-FPN-v2	3	0.1064398140061506	0.008246907054315012	0.3189171779515462	0.024750921345736407	0.05157954447366899	0.0026727594915117404	0.1482671339563863	0.01013435982205211	0.39038161993769466	0.026551950543751354	0.09598909657320871	0.006300112806605702	0.07815420560747664	0.004908975253375857	0.18613707165109036	0.007930456329601354	0.06133177570093457	0.0026767381395770094	0.19362331108388528	0.008494814582048213	0.6865596946940712	0.0063490588695318045	0.2819593787335723	0.00982944006684848
ResNet18--U-Net	5	0.0852965635620063	0.003692450502101673	0.26164390086071604	0.015745280105317602	0.03746751604904943	0.007382429908227354	0.1292640186915888	0.00822427002570276	0.3412383177570093	0.02072734123010922	0.07897196261682243	0.009303716607887851	0.06992990654205607	0.0020096344337351274	0.1671728971962617	0.006953143056052789	0.04813084112149533	0.002663961273596117	0.1772706461874254	0.00553818607542285	0.6863443005956309	0.005414515720472352	0.2583268243793027	0.00947615700846298
