panel	model	run_id	seed	all_candidate_precision	many_to_one_spatial_recall	many_to_one_role_qualified_recall	one_to_one_role_qualified_recall	crop_overlap_scene_frequency	mean_candidates_per_image	contrast	metric	point	crossed_seed_image_lower_95	crossed_seed_image_upper_95	bonferroni_family_lower_97_5	bonferroni_family_upper_97_5	date_block_seed_lower_95	date_block_seed_upper_95	bootstrap_probability_above_zero	seeds	mean_mAP_IoU_0.50_0.95	sd_mAP_IoU_0.50_0.95	mean_AP_IoU_0.50	sd_AP_IoU_0.50	mean_AP_IoU_0.75	sd_AP_IoU_0.75	mean_AR100_IoU_0.50_0.95	sd_AR100_IoU_0.50_0.95	mean_AR100_IoU_0.50	sd_AR100_IoU_0.50	mean_AR100_IoU_0.75	sd_AR100_IoU_0.75	mean_queue_AR20_IoU_0.50_0.95	sd_queue_AR20_IoU_0.50_0.95	mean_queue_AR20_IoU_0.50	sd_queue_AR20_IoU_0.50	mean_queue_AR20_IoU_0.75	sd_queue_AR20_IoU_0.75	mean_queue_PQ_style	sd_queue_PQ_style	mean_queue_SQ_style	sd_queue_SQ_style	mean_queue_RQ_style	sd_queue_RQ_style	instance_coverage	candidate_labeled_coverage	same_role_purity	ranking_by_mean_one_to_one_recall	best_model	best_minus_second
a	ResNet18-UNet	P2_WEEDSGALORE_TARGET_SEMANTIC_H200_SEED_20260810_20260812_v1	20260810	0.7111984282907662	0.27044392523364486	0.24941588785046728	0.20619158878504673	0.2692307692307692	19.576923076923077																																									
a	ResNet18-UNet	P2_WEEDSGALORE_TARGET_SEMANTIC_H200_SEED_20260811_20260812_v1	20260811	0.7247524752475247	0.26343457943925236	0.24766355140186916	0.1991822429906542	0.3076923076923077	19.423076923076923																																									
a	ResNet18-UNet	P2_WEEDSGALORE_TARGET_SEMANTIC_H200_SEED_20260812_20260812_v1	20260812	0.6878612716763006	0.2523364485981308	0.2266355140186916	0.20327102803738317	0.23076923076923078	19.96153846153846																																									
a	ResNet18-UNet	P2_WEEDSGALORE_TARGET_SEMANTIC_H200_SEED_20260813_20260812_v1	20260813	0.7568627450980392	0.3008177570093458	0.28329439252336447	0.20969626168224298	0.23076923076923078	19.615384615384617																																									
a	ResNet18-UNet	P2_WEEDSGALORE_TARGET_SEMANTIC_H200_SEED_20260814_20260812_v1	20260814	0.7034883720930233	0.24707943925233644	0.2272196261682243	0.19509345794392524	0.19230769230769232	19.846153846153847																																									
a	DeepLabV3Plus-ResNet50	P2_WEEDSGALORE_DEEPLABV3PLUS_H200_SEED_20260820_20260812_v2	20260820	0.6848249027237354	0.276285046728972	0.2435747663551402	0.19450934579439252	0.2692307692307692	19.76923076923077																																									
a	DeepLabV3Plus-ResNet50	P2_WEEDSGALORE_DEEPLABV3PLUS_H200_SEED_20260821_20260812_v1	20260821	0.6862745098039216	0.2587616822429907	0.231892523364486	0.1886682242990654	0.23076923076923078	19.615384615384617																																									
a	DeepLabV3Plus-ResNet50	P2_WEEDSGALORE_DEEPLABV3PLUS_H200_SEED_20260822_20260812_v1	20260822	0.6783625730994152	0.2780373831775701	0.2505841121495327	0.1939252336448598	0.23076923076923078	19.73076923076923																																									
a	Mask-RCNN-ResNet50-FPN-v2	P2_WEEDSGALORE_MASKRCNN_H200_SEED_20260820_20260812_v1	20260820	0.8	0.24532710280373832	0.23130841121495327	0.22021028037383178	0.23076923076923078	20.0																																									
a	Mask-RCNN-ResNet50-FPN-v2	P2_WEEDSGALORE_MASKRCNN_H200_SEED_20260821_20260812_v1	20260821	0.7942307692307692	0.2371495327102804	0.22546728971962618	0.21320093457943926	0.15384615384615385	20.0																																									
a	Mask-RCNN-ResNet50-FPN-v2	P2_WEEDSGALORE_MASKRCNN_H200_SEED_20260822_20260812_v1	20260822	0.7730769230769231	0.24182242990654207	0.2207943925233645	0.21436915887850466	0.3076923076923077	20.0																																									
b										deeplabv3plus_minus_unet	one_to_one_recall	-0.010319314641744598	-0.02367160026919171	0.002633038123108914	-0.025580616765450946	0.004896886230907487	-0.024385609303755773	0.013309523809523792	0.0551																															
b										maskrcnn_minus_unet	one_to_one_recall	0.013239875389408046	-0.0008602900227049014	0.030021769630721038	-0.0027328501710978488	0.032942563943469935	0.002346041055718451	0.03413561342380341	0.96655																															
c	DeepLabV3+--ResNet50																			3	0.04989127645004432	0.002592567332764047	0.19371550950791136	0.006001294472825227	0.0092783666458097	0.0033884887190652586	0.10097352024922118	0.005366949236096136	0.2949766355140187	0.008114745320940291	0.04848130841121495	0.00673630992679369	0.051674454828660434	0.0013143605009141438	0.1456386292834891	0.004461230232628347	0.026869158878504672	0.003252198810064265	0.14636153844537728	0.0022637267873427103	0.6544573376682877	0.006741318958513061	0.22366581934352125	0.0050134602092480485						
c	Mask R-CNN--ResNet50-FPN-v2																			3	0.1064398140061506	0.008246907054315012	0.3189171779515462	0.024750921345736407	0.05157954447366899	0.0026727594915117404	0.1482671339563863	0.01013435982205211	0.39038161993769466	0.026551950543751354	0.09598909657320871	0.006300112806605702	0.07815420560747664	0.004908975253375857	0.18613707165109036	0.007930456329601354	0.06133177570093457	0.0026767381395770094	0.19362331108388528	0.008494814582048213	0.6865596946940712	0.0063490588695318045	0.2819593787335723	0.00982944006684848						
c	ResNet18--U-Net																			5	0.0852965635620063	0.003692450502101673	0.26164390086071604	0.015745280105317602	0.03746751604904943	0.007382429908227354	0.1292640186915888	0.00822427002570276	0.3412383177570093	0.02072734123010922	0.07897196261682243	0.009303716607887851	0.06992990654205607	0.0020096344337351274	0.1671728971962617	0.006953143056052789	0.04813084112149533	0.002663961273596117	0.1772706461874254	0.00553818607542285	0.6863443005956309	0.005414515720472352	0.2583268243793027	0.00947615700846298						
d																																													0.25	0.25	0.5	Mask R-CNN--ResNet50-FPN-v2 > ResNet18--U-Net > DeepLabV3+--ResNet50	Mask R-CNN--ResNet50-FPN-v2	0.010786604361370689
d																																													0.25	0.25	0.75	Mask R-CNN--ResNet50-FPN-v2 > ResNet18--U-Net > DeepLabV3+--ResNet50	Mask R-CNN--ResNet50-FPN-v2	0.011137071651090347
d																																													0.25	0.25	0.9	Mask R-CNN--ResNet50-FPN-v2 > ResNet18--U-Net > DeepLabV3+--ResNet50	Mask R-CNN--ResNet50-FPN-v2	0.010552959501557657
