panel	model	run_id	seed	all_candidate_precision	many_to_one_spatial_recall	many_to_one_role_qualified_recall	one_to_one_role_qualified_recall	crop_overlap_scene_frequency	mean_candidates_per_image	contrast	metric	point	crossed_seed_image_lower_95	crossed_seed_image_upper_95	bonferroni_family_lower_97_5	bonferroni_family_upper_97_5	date_block_seed_lower_95	date_block_seed_upper_95	bootstrap_probability_above_zero	seeds	mean_mAP_IoU_0.50_0.95	sd_mAP_IoU_0.50_0.95	mean_AP_IoU_0.50	sd_AP_IoU_0.50	mean_AP_IoU_0.75	sd_AP_IoU_0.75	mean_AR100_IoU_0.50_0.95	sd_AR100_IoU_0.50_0.95	mean_AR100_IoU_0.50	sd_AR100_IoU_0.50	mean_AR100_IoU_0.75	sd_AR100_IoU_0.75	mean_queue_AR20_IoU_0.50_0.95	sd_queue_AR20_IoU_0.50_0.95	mean_queue_AR20_IoU_0.50	sd_queue_AR20_IoU_0.50	mean_queue_AR20_IoU_0.75	sd_queue_AR20_IoU_0.75	mean_queue_PQ_style	sd_queue_PQ_style	mean_queue_SQ_style	sd_queue_SQ_style	mean_queue_RQ_style	sd_queue_RQ_style	instance_coverage	candidate_labeled_coverage	same_role_purity	ranking_by_mean_one_to_one_recall	best_model	best_minus_second
d																																													0.25	0.5	0.5	Mask R-CNN--ResNet50-FPN-v2 > ResNet18--U-Net > DeepLabV3+--ResNet50	Mask R-CNN--ResNet50-FPN-v2	0.016199376947040545
d																																													0.25	0.5	0.75	Mask R-CNN--ResNet50-FPN-v2 > ResNet18--U-Net > DeepLabV3+--ResNet50	Mask R-CNN--ResNet50-FPN-v2	0.016549844236760147
d																																													0.25	0.5	0.9	Mask R-CNN--ResNet50-FPN-v2 > ResNet18--U-Net > DeepLabV3+--ResNet50	Mask R-CNN--ResNet50-FPN-v2	0.015965732087227402
d																																													0.25	0.75	0.5	Mask R-CNN--ResNet50-FPN-v2 > ResNet18--U-Net > DeepLabV3+--ResNet50	Mask R-CNN--ResNet50-FPN-v2	0.02959501557632399
d																																													0.25	0.75	0.75	Mask R-CNN--ResNet50-FPN-v2 > ResNet18--U-Net > DeepLabV3+--ResNet50	Mask R-CNN--ResNet50-FPN-v2	0.02959501557632399
d																																													0.25	0.75	0.9	Mask R-CNN--ResNet50-FPN-v2 > ResNet18--U-Net > DeepLabV3+--ResNet50	Mask R-CNN--ResNet50-FPN-v2	0.029205607476635503
d																																													0.5	0.25	0.5	Mask R-CNN--ResNet50-FPN-v2 > ResNet18--U-Net > DeepLabV3+--ResNet50	Mask R-CNN--ResNet50-FPN-v2	0.008722741433021819
d																																													0.5	0.25	0.75	Mask R-CNN--ResNet50-FPN-v2 > ResNet18--U-Net > DeepLabV3+--ResNet50	Mask R-CNN--ResNet50-FPN-v2	0.00907320872274145
d																																													0.5	0.25	0.9	Mask R-CNN--ResNet50-FPN-v2 > ResNet18--U-Net > DeepLabV3+--ResNet50	Mask R-CNN--ResNet50-FPN-v2	0.008489096573208704
d																																													0.5	0.5	0.5	Mask R-CNN--ResNet50-FPN-v2 > ResNet18--U-Net > DeepLabV3+--ResNet50	Mask R-CNN--ResNet50-FPN-v2	0.013473520249221188
d																																													0.5	0.5	0.75	Mask R-CNN--ResNet50-FPN-v2 > ResNet18--U-Net > DeepLabV3+--ResNet50	Mask R-CNN--ResNet50-FPN-v2	0.013823987538940818
d																																													0.5	0.5	0.9	Mask R-CNN--ResNet50-FPN-v2 > ResNet18--U-Net > DeepLabV3+--ResNet50	Mask R-CNN--ResNet50-FPN-v2	0.013239875389408129
d																																													0.5	0.75	0.5	Mask R-CNN--ResNet50-FPN-v2 > ResNet18--U-Net > DeepLabV3+--ResNet50	Mask R-CNN--ResNet50-FPN-v2	0.026401869158878502
d																																													0.5	0.75	0.75	Mask R-CNN--ResNet50-FPN-v2 > ResNet18--U-Net > DeepLabV3+--ResNet50	Mask R-CNN--ResNet50-FPN-v2	0.026401869158878502
d																																													0.5	0.75	0.9	Mask R-CNN--ResNet50-FPN-v2 > ResNet18--U-Net > DeepLabV3+--ResNet50	Mask R-CNN--ResNet50-FPN-v2	0.026012461059190042
d																																													0.75	0.25	0.5	ResNet18--U-Net > DeepLabV3+--ResNet50 > Mask R-CNN--ResNet50-FPN-v2	ResNet18--U-Net	0.005412772585669773
d																																													0.75	0.25	0.75	ResNet18--U-Net > DeepLabV3+--ResNet50 > Mask R-CNN--ResNet50-FPN-v2	ResNet18--U-Net	0.00506230529595017
d																																													0.75	0.25	0.9	ResNet18--U-Net > DeepLabV3+--ResNet50 > Mask R-CNN--ResNet50-FPN-v2	ResNet18--U-Net	0.00506230529595017
d																																													0.75	0.5	0.5	ResNet18--U-Net > DeepLabV3+--ResNet50 > Mask R-CNN--ResNet50-FPN-v2	ResNet18--U-Net	0.010591900311526514
d																																													0.75	0.5	0.75	ResNet18--U-Net > DeepLabV3+--ResNet50 > Mask R-CNN--ResNet50-FPN-v2	ResNet18--U-Net	0.010241433021806856
d																																													0.75	0.5	0.9	ResNet18--U-Net > DeepLabV3+--ResNet50 > Mask R-CNN--ResNet50-FPN-v2	ResNet18--U-Net	0.010241433021806856
d																																													0.75	0.75	0.5	Mask R-CNN--ResNet50-FPN-v2 > ResNet18--U-Net > DeepLabV3+--ResNet50	Mask R-CNN--ResNet50-FPN-v2	0.010708722741433044
d																																													0.75	0.75	0.75	Mask R-CNN--ResNet50-FPN-v2 > ResNet18--U-Net > DeepLabV3+--ResNet50	Mask R-CNN--ResNet50-FPN-v2	0.010708722741433044
d																																													0.75	0.75	0.9	Mask R-CNN--ResNet50-FPN-v2 > ResNet18--U-Net > DeepLabV3+--ResNet50	Mask R-CNN--ResNet50-FPN-v2	0.010319314641744556
