policy	file	date	aggregation	stratum	images	accepted_candidates	weed_candidates	all_candidate_queue_precision	weed_truth_instances	spatial_recalled_weed_instances	queued_spatial_weed_instance_recall	role_qualified_recalled_weed_instances	queued_role_qualified_weed_instance_recall	one_to_one_spatial_matches	one_to_one_spatial_recall	one_to_one_role_qualified_matches	one_to_one_role_qualified_recall	crop_overlap_scene_numerator_0.00	crop_overlap_scene_frequency_0.00	crop_overlap_scene_numerator_0.01	crop_overlap_scene_frequency_0.01	crop_overlap_scene_numerator_0.10	crop_overlap_scene_frequency_0.10	crop_overlap_scene_numerator_0.50	crop_overlap_scene_frequency_0.50
global_top_N520	weedsgalore_official_dataset:2023-06-15:2023-06-15_0169	2023-06-15	tile	weedsgalore_official_dataset:2023-06-15:2023-06-15_0169	1	22	21	0.9545454545454546	80	9	0.1125	9	0.1125	7	0.0875	7	0.0875	1	1.0	1	1.0	1	1.0	1	1.0
global_top_N520	weedsgalore_official_dataset:2023-06-15:2023-06-15_0735	2023-06-15	tile	weedsgalore_official_dataset:2023-06-15:2023-06-15_0735	1	14	6	0.4285714285714285	74	4	0.054054054054054	4	0.054054054054054	4	0.054054054054054	4	0.054054054054054	0	0.0	0	0.0	0	0.0	0	0.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-05-25:2023-05-25_0109	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0109	1	5	0	0.0	17	1	0.0588235294117647	0	0.0	1	0.0588235294117647	0	0.0	1	1.0	1	1.0	1	1.0	1	1.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-05-25:2023-05-25_0114	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0114	1	5	0	0.0	17	1	0.0588235294117647	0	0.0	1	0.0588235294117647	0	0.0	1	1.0	1	1.0	1	1.0	1	1.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-05-25:2023-05-25_0170	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0170	1	5	0	0.0	16	1	0.0625	0	0.0	1	0.0625	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-05-25:2023-05-25_0183	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0183	1	5	0	0.0	9	1	0.1111111111111111	0	0.0	1	0.1111111111111111	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-05-25:2023-05-25_0681	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0681	1	7	3	0.4285714285714285	69	2	0.0289855072463768	2	0.0289855072463768	2	0.0289855072463768	2	0.0289855072463768	1	1.0	1	1.0	1	1.0	1	1.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-05-25:2023-05-25_0685	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0685	1	14	1	0.0714285714285714	114	3	0.0263157894736842	1	0.0087719298245614	3	0.0263157894736842	1	0.0087719298245614	1	1.0	1	1.0	1	1.0	1	1.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-05-25:2023-05-25_0750	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0750	1	5	1	0.2	74	2	0.027027027027027	1	0.0135135135135135	2	0.027027027027027	1	0.0135135135135135	1	1.0	1	1.0	1	1.0	0	0.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-05-25:2023-05-25_0786	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0786	1	5	2	0.4	76	5	0.0657894736842105	2	0.0263157894736842	5	0.0657894736842105	2	0.0263157894736842	1	1.0	1	1.0	1	1.0	0	0.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-05-30:2023-05-30_0039	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0039	1	5	0	0.0	43	1	0.0232558139534883	0	0.0	1	0.0232558139534883	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-05-30:2023-05-30_0044	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0044	1	11	7	0.6363636363636364	46	9	0.1956521739130435	6	0.1304347826086956	9	0.1956521739130435	6	0.1304347826086956	0	0.0	0	0.0	0	0.0	0	0.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-05-30:2023-05-30_0099	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0099	1	18	10	0.5555555555555556	52	11	0.2115384615384615	6	0.1153846153846153	11	0.2115384615384615	6	0.1153846153846153	0	0.0	0	0.0	0	0.0	0	0.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-05-30:2023-05-30_0114	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0114	1	11	4	0.3636363636363636	35	6	0.1714285714285714	3	0.0857142857142857	6	0.1714285714285714	3	0.0857142857142857	1	1.0	1	1.0	1	1.0	0	0.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-05-30:2023-05-30_0649	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0649	1	40	29	0.725	93	49	0.5268817204301075	37	0.3978494623655914	34	0.3655913978494624	25	0.2688172043010752	1	1.0	1	1.0	1	1.0	1	1.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-05-30:2023-05-30_0652	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0652	1	25	22	0.88	55	18	0.3272727272727272	15	0.2727272727272727	16	0.2909090909090909	13	0.2363636363636363	0	0.0	0	0.0	0	0.0	0	0.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-05-30:2023-05-30_0720	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0720	1	22	15	0.6818181818181818	49	19	0.3877551020408163	13	0.2653061224489796	16	0.3265306122448979	10	0.2040816326530612	0	0.0	0	0.0	0	0.0	0	0.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-05-30:2023-05-30_0750	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0750	1	17	14	0.8235294117647058	67	18	0.2686567164179104	16	0.2388059701492537	16	0.2388059701492537	14	0.208955223880597	1	1.0	1	1.0	1	1.0	1	1.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-06-06:2023-06-06_0161	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0161	1	42	37	0.8809523809523809	101	47	0.4653465346534653	43	0.4257425742574257	35	0.3465346534653465	32	0.3168316831683168	1	1.0	1	1.0	1	1.0	0	0.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-06-06:2023-06-06_0166	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0166	1	29	21	0.7241379310344828	76	39	0.5131578947368421	32	0.4210526315789473	26	0.3421052631578947	19	0.25	0	0.0	0	0.0	0	0.0	0	0.0
