policy	file	date	aggregation	stratum	images	accepted_candidates	weed_candidates	all_candidate_queue_precision	weed_truth_instances	spatial_recalled_weed_instances	queued_spatial_weed_instance_recall	role_qualified_recalled_weed_instances	queued_role_qualified_weed_instance_recall	one_to_one_spatial_matches	one_to_one_spatial_recall	one_to_one_role_qualified_matches	one_to_one_role_qualified_recall	crop_overlap_scene_numerator_0.00	crop_overlap_scene_frequency_0.00	crop_overlap_scene_numerator_0.01	crop_overlap_scene_frequency_0.01	crop_overlap_scene_numerator_0.10	crop_overlap_scene_frequency_0.10	crop_overlap_scene_numerator_0.50	crop_overlap_scene_frequency_0.50
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-05-30:2023-05-30_0114	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0114	1	6	3	0.5	35	6	0.1714285714285714	3	0.0857142857142857	6	0.1714285714285714	3	0.0857142857142857	0	0.0	0	0.0	0	0.0	0	0.0
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-05-30:2023-05-30_0649	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0649	1	34	26	0.7647058823529411	93	43	0.4623655913978494	32	0.3440860215053763	30	0.3225806451612903	22	0.2365591397849462	0	0.0	0	0.0	0	0.0	0	0.0
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-05-30:2023-05-30_0652	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0652	1	20	18	0.9	55	17	0.3090909090909091	15	0.2727272727272727	15	0.2727272727272727	13	0.2363636363636363	0	0.0	0	0.0	0	0.0	0	0.0
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-05-30:2023-05-30_0720	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0720	1	20	15	0.75	49	18	0.3673469387755102	13	0.2653061224489796	15	0.3061224489795918	10	0.2040816326530612	0	0.0	0	0.0	0	0.0	0	0.0
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-05-30:2023-05-30_0750	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0750	1	15	13	0.8666666666666667	67	17	0.2537313432835821	15	0.2238805970149253	15	0.2238805970149253	13	0.1940298507462686	0	0.0	0	0.0	0	0.0	0	0.0
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-06-06:2023-06-06_0161	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0161	1	37	34	0.918918918918919	101	43	0.4257425742574257	40	0.396039603960396	31	0.3069306930693069	29	0.2871287128712871	1	1.0	1	1.0	1	1.0	0	0.0
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-06-06:2023-06-06_0166	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0166	1	24	17	0.7083333333333334	76	34	0.4473684210526316	28	0.3684210526315789	21	0.2763157894736842	15	0.1973684210526315	0	0.0	0	0.0	0	0.0	0	0.0
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-06-06:2023-06-06_0176	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0176	1	45	37	0.8222222222222222	150	57	0.38	46	0.3066666666666666	38	0.2533333333333333	31	0.2066666666666666	1	1.0	1	1.0	1	1.0	1	1.0
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-06-06:2023-06-06_0231	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0231	1	21	17	0.8095238095238095	65	26	0.4	23	0.3538461538461538	20	0.3076923076923077	17	0.2615384615384615	0	0.0	0	0.0	0	0.0	0	0.0
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-06-06:2023-06-06_0667	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0667	1	31	27	0.8709677419354839	95	37	0.3894736842105263	34	0.3578947368421052	29	0.3052631578947368	26	0.2736842105263158	0	0.0	0	0.0	0	0.0	0	0.0
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-06-06:2023-06-06_0670	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0670	1	35	34	0.9714285714285714	96	57	0.59375	57	0.59375	33	0.34375	33	0.34375	1	1.0	1	1.0	0	0.0	0	0.0
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-06-06:2023-06-06_0736	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0736	1	25	24	0.96	69	44	0.6376811594202898	43	0.6231884057971014	22	0.3188405797101449	21	0.3043478260869565	1	1.0	1	1.0	1	1.0	0	0.0
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-06-06:2023-06-06_0770	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0770	1	37	37	1.0	74	48	0.6486486486486487	48	0.6486486486486487	32	0.4324324324324324	32	0.4324324324324324	0	0.0	0	0.0	0	0.0	0	0.0
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-06-15:2023-06-15_0169	2023-06-15	tile	weedsgalore_official_dataset:2023-06-15:2023-06-15_0169	1	20	20	1.0	80	9	0.1125	9	0.1125	7	0.0875	7	0.0875	0	0.0	0	0.0	0	0.0	0	0.0
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-06-15:2023-06-15_0735	2023-06-15	tile	weedsgalore_official_dataset:2023-06-15:2023-06-15_0735	1	11	6	0.5454545454545454	74	4	0.054054054054054	4	0.054054054054054	4	0.054054054054054	4	0.054054054054054	0	0.0	0	0.0	0	0.0	0	0.0
