model	policy	aggregation	stratum	images	accepted_candidates	weed_candidates	all_candidate_queue_precision	weed_truth_instances	spatial_recalled_weed_instances	queued_spatial_weed_instance_recall	role_qualified_recalled_weed_instances	queued_role_qualified_weed_instance_recall	one_to_one_spatial_matches	one_to_one_spatial_recall	one_to_one_role_qualified_matches	one_to_one_role_qualified_recall	crop_overlap_scene_numerator_0.00	crop_overlap_scene_frequency_0.00	crop_overlap_scene_numerator_0.01	crop_overlap_scene_frequency_0.01	crop_overlap_scene_numerator_0.10	crop_overlap_scene_frequency_0.10	crop_overlap_scene_numerator_0.50	crop_overlap_scene_frequency_0.50
all_candidate_component_masked_dinov2_queue_selected	fixed_K20_per_image	pooled_test	ALL	26	520	275	0.5288461538461539	1712	390	0.227803738317757	324	0.1892523364485981	283	0.165303738317757	227	0.1325934579439252	13	0.5	13	0.5	12	0.4615384615384615	8	0.3076923076923077
all_candidate_component_masked_dinov2_queue_selected	global_top_N520	pooled_test	ALL	26	520	388	0.7461538461538462	1712	547	0.3195093457943925	464	0.2710280373831775	394	0.2301401869158878	320	0.1869158878504672	12	0.4615384615384615	12	0.4615384615384615	11	0.4230769230769231	6	0.2307692307692307
all_candidate_component_masked_dinov2_queue_selected	bounded_global_min5_max50_N520	pooled_test	ALL	26	520	382	0.7346153846153847	1712	533	0.3113317757009345	453	0.2646028037383177	387	0.2260514018691588	315	0.1839953271028037	14	0.5384615384615384	14	0.5384615384615384	13	0.5	8	0.3076923076923077
all_candidate_component_masked_dinov2_queue_selected	validation_score_threshold_transferred	pooled_test	ALL	26	426	348	0.8169014084507042	1712	485	0.2832943925233644	424	0.2476635514018691	343	0.2003504672897196	290	0.169392523364486	8	0.3076923076923077	8	0.3076923076923077	7	0.2692307692307692	3	0.1153846153846153
