date	images	weed_instances	candidates	accepted_candidates	precision	many_to_one_spatial_recall	many_to_one_role_qualified_recall	one_to_one_role_qualified_recall	crop_overlap_scene_frequency
2023-05-25	8	392	304	158	0.4430379746835443	0.2244897959183673	0.173469387755102	0.1607142857142857	0.75
2023-05-30	8	440	446	160	0.775	0.3977272727272727	0.3272727272727272	0.2818181818181818	0.0
2023-06-06	8	726	534	160	0.89375	0.3112947658402203	0.290633608815427	0.1969696969696969	0.0
2023-06-15	2	154	63	40	0.45	0.2012987012987013	0.1948051948051948	0.1168831168831168	0.0
