variant	setting	official_split	truth_role	minimum_instance_coverage	minimum_candidate_labeled_coverage	minimum_same_role_purity	truth_instances	recalled_instances	role_qualified_proposal_recall
training_selected_commissioned	T070_A032	test	weed	0.75	0.25	0.9	1712	516	0.3014018691588785
training_selected_commissioned	T070_A032	test	crop	0.75	0.5	0.5	256	99	0.38671875
training_selected_commissioned	T070_A032	test	weed	0.75	0.5	0.5	1712	500	0.29205607476635514
training_selected_commissioned	T070_A032	test	crop	0.75	0.5	0.75	256	79	0.30859375
training_selected_commissioned	T070_A032	test	weed	0.75	0.5	0.75	1712	442	0.25817757009345793
training_selected_commissioned	T070_A032	test	crop	0.75	0.5	0.9	256	66	0.2578125
training_selected_commissioned	T070_A032	test	weed	0.75	0.5	0.9	1712	381	0.22254672897196262
training_selected_commissioned	T070_A032	test	crop	0.75	0.75	0.5	256	13	0.05078125
training_selected_commissioned	T070_A032	test	weed	0.75	0.75	0.5	1712	201	0.11740654205607477
training_selected_commissioned	T070_A032	test	crop	0.75	0.75	0.75	256	12	0.046875
training_selected_commissioned	T070_A032	test	weed	0.75	0.75	0.75	1712	180	0.10514018691588785
training_selected_commissioned	T070_A032	test	crop	0.75	0.75	0.9	256	11	0.04296875
training_selected_commissioned	T070_A032	test	weed	0.75	0.75	0.9	1712	119	0.06950934579439252
