variant	model	held_out_date	k	images	accepted_candidates	eligible_weed_candidates	eligible_crop_candidates	ambiguous_or_background_candidates	all_candidate_precision	queued_spatial_weed_instance_recall	queued_role_qualified_weed_instance_recall	pure_crop_scene_frequency	crop_overlap_scene_frequency_0.00	crop_overlap_scene_frequency_0.01	crop_overlap_scene_frequency_0.10	crop_overlap_scene_frequency_0.50
original	role_only	2023-05-25	1	48	48	2	29	17	0.041666666666666664	0.0017699115044247787	0.0011799410029498525	0.6041666666666666	0.7291666666666666	0.7291666666666666	0.7291666666666666	0.625
original	role_only	2023-05-25	5	48	238	8	146	84	0.03361344537815126	0.005309734513274336	0.0017699115044247787	0.8958333333333334	0.9166666666666666	0.9166666666666666	0.9166666666666666	0.8958333333333334
original	role_only	2023-05-25	10	48	457	14	278	165	0.030634573304157548	0.00943952802359882	0.00471976401179941	0.9583333333333334	0.9583333333333334	0.9583333333333334	0.9583333333333334	0.9583333333333334
original	role_only	2023-05-25	20	48	723	19	459	245	0.02627939142461964	0.015339233038348082	0.007669616519174041	0.9791666666666666	0.9791666666666666	0.9791666666666666	0.9791666666666666	0.9791666666666666
original	local_only	2023-05-25	1	48	48	2	26	20	0.041666666666666664	0.0011799410029498525	0.0005899705014749262	0.5416666666666666	0.5833333333333334	0.5833333333333334	0.5833333333333334	0.5416666666666666
original	local_only	2023-05-25	5	48	238	10	133	95	0.04201680672268908	0.006489675516224189	0.0035398230088495575	0.875	0.8958333333333334	0.8958333333333334	0.8958333333333334	0.875
original	local_only	2023-05-25	10	48	457	15	275	167	0.03282275711159737	0.01415929203539823	0.006489675516224189	0.9166666666666666	0.9166666666666666	0.9166666666666666	0.9166666666666666	0.9166666666666666
original	local_only	2023-05-25	20	48	723	20	460	243	0.027662517289073305	0.01710914454277286	0.008259587020648967	0.9791666666666666	0.9791666666666666	0.9791666666666666	0.9791666666666666	0.9791666666666666
original	role_plus_local	2023-05-25	1	48	48	2	23	23	0.041666666666666664	0.0	0.0	0.4791666666666667	0.5416666666666666	0.5416666666666666	0.5416666666666666	0.4791666666666667
original	role_plus_local	2023-05-25	5	48	238	10	128	100	0.04201680672268908	0.007079646017699115	0.0035398230088495575	0.8125	0.8958333333333334	0.8958333333333334	0.8958333333333334	0.8125
original	role_plus_local	2023-05-25	10	48	457	17	269	171	0.037199124726477024	0.015339233038348082	0.007669616519174041	0.9166666666666666	0.9166666666666666	0.9166666666666666	0.9166666666666666	0.9166666666666666
original	role_plus_local	2023-05-25	20	48	723	20	451	252	0.027662517289073305	0.017699115044247787	0.008259587020648967	0.9583333333333334	0.9791666666666666	0.9791666666666666	0.9791666666666666	0.9583333333333334
original	role_only	2023-05-30	1	48	48	7	32	9	0.14583333333333334	0.004944375772558714	0.0020601565718994645	0.6666666666666666	0.75	0.75	0.75	0.6666666666666666
original	role_only	2023-05-30	5	48	240	61	110	69	0.25416666666666665	0.03419859909353111	0.019365471775854966	0.8541666666666666	0.8958333333333334	0.8958333333333334	0.8958333333333334	0.8541666666666666
original	role_only	2023-05-30	10	48	480	157	153	170	0.32708333333333334	0.069221260815822	0.046147507210548	0.8958333333333334	0.9375	0.9375	0.9375	0.8958333333333334
original	role_only	2023-05-30	20	48	942	309	226	407	0.32802547770700635	0.12937783271528636	0.08941079522043675	0.9375	0.9583333333333334	0.9583333333333334	0.9583333333333334	0.9375
original	local_only	2023-05-30	1	48	48	26	10	12	0.5416666666666666	0.005356407086938607	0.004944375772558714	0.20833333333333334	0.20833333333333334	0.20833333333333334	0.20833333333333334	0.20833333333333334
original	local_only	2023-05-30	5	48	240	135	28	77	0.5625	0.037906880922950144	0.034610630407911	0.4375	0.4583333333333333	0.4583333333333333	0.4583333333333333	0.4583333333333333
original	local_only	2023-05-30	10	48	480	244	56	180	0.5083333333333333	0.0749896992171405	0.0630407911001236	0.5833333333333334	0.625	0.625	0.625	0.6041666666666666
original	local_only	2023-05-30	20	48	942	418	132	392	0.4437367303609342	0.14668314791924186	0.11701689328388958	0.7916666666666666	0.8333333333333334	0.8333333333333334	0.8333333333333334	0.7916666666666666
original	role_plus_local	2023-05-30	1	48	48	27	6	15	0.5625	0.005356407086938607	0.004532344458178822	0.125	0.125	0.125	0.125	0.125
original	role_plus_local	2023-05-30	5	48	240	136	16	88	0.5666666666666667	0.036258755665430575	0.032550473836011534	0.3125	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333
original	role_plus_local	2023-05-30	10	48	480	238	42	200	0.49583333333333335	0.07787391841779975	0.0630407911001236	0.4791666666666667	0.5	0.5	0.5	0.5
original	role_plus_local	2023-05-30	20	48	942	411	120	411	0.43630573248407645	0.14173877214668315	0.11372064276885044	0.75	0.8333333333333334	0.8333333333333334	0.8333333333333334	0.7708333333333334
original	role_only	2023-06-06	1	48	48	13	28	7	0.2708333333333333	0.006136267456622937	0.0027507405840033854	0.5833333333333334	0.7083333333333334	0.7083333333333334	0.7083333333333334	0.6875
original	role_only	2023-06-06	5	48	240	112	97	31	0.4666666666666667	0.03787558188743123	0.024121878967414304	0.8541666666666666	0.9583333333333334	0.9583333333333334	0.9583333333333334	0.9375
original	role_only	2023-06-06	10	48	480	272	138	70	0.5666666666666667	0.07913669064748201	0.05480321625052899	0.9375	0.9583333333333334	0.9583333333333334	0.9583333333333334	0.9583333333333334
original	role_only	2023-06-06	20	48	960	634	191	135	0.6604166666666667	0.145366060093102	0.1070672873465933	0.9583333333333334	0.9791666666666666	0.9791666666666666	0.9791666666666666	0.9583333333333334
original	local_only	2023-06-06	1	48	48	23	0	25	0.4791666666666667	0.0016927634363097758	0.0012695725772323319	0.0	0.020833333333333332	0.020833333333333332	0.020833333333333332	0.0
original	local_only	2023-06-06	5	48	240	175	2	63	0.7291666666666666	0.014388489208633094	0.013118916631400761	0.041666666666666664	0.08333333333333333	0.08333333333333333	0.08333333333333333	0.041666666666666664
original	local_only	2023-06-06	10	48	480	381	9	90	0.79375	0.037452391028353786	0.03491324587388912	0.16666666666666666	0.25	0.25	0.25	0.1875
original	local_only	2023-06-06	20	48	960	790	47	123	0.8229166666666666	0.10071942446043165	0.09373677528565383	0.4791666666666667	0.6041666666666666	0.6041666666666666	0.5833333333333334	0.4791666666666667
original	role_plus_local	2023-06-06	1	48	48	28	0	20	0.5833333333333334	0.0031739314430808295	0.0031739314430808295	0.0	0.020833333333333332	0.020833333333333332	0.020833333333333332	0.0
