variant	held_out_date	truth_role	minimum_instance_coverage	minimum_candidate_labeled_coverage	minimum_same_role_purity	truth_instances	role_qualified_proposal_recall
nested_commissioned	2023-06-06	weed	0.5	0.5	0.9	4726	0.4555649597968684
nested_commissioned	2023-06-06	crop	0.5	0.75	0.5	633	0.31437598736176936
nested_commissioned	2023-06-06	weed	0.5	0.75	0.5	4726	0.2505289885738468
nested_commissioned	2023-06-06	crop	0.5	0.75	0.75	633	0.2685624012638231
nested_commissioned	2023-06-06	weed	0.5	0.75	0.75	4726	0.24164198053322047
nested_commissioned	2023-06-06	crop	0.5	0.75	0.9	633	0.2259083728278041
nested_commissioned	2023-06-06	weed	0.5	0.75	0.9	4726	0.24058400338552688
nested_commissioned	2023-06-06	crop	0.75	0.25	0.5	633	0.7282780410742496
nested_commissioned	2023-06-06	weed	0.75	0.25	0.5	4726	0.3554803216250529
nested_commissioned	2023-06-06	crop	0.75	0.25	0.75	633	0.5639810426540285
nested_commissioned	2023-06-06	weed	0.75	0.25	0.75	4726	0.3292424883622514
nested_commissioned	2023-06-06	crop	0.75	0.25	0.9	633	0.41390205371248023
nested_commissioned	2023-06-06	weed	0.75	0.25	0.9	4726	0.32776132035548033
nested_commissioned	2023-06-06	crop	0.75	0.5	0.5	633	0.7282780410742496
nested_commissioned	2023-06-06	weed	0.75	0.5	0.5	4726	0.32310622090562846
nested_commissioned	2023-06-06	crop	0.75	0.5	0.75	633	0.5639810426540285
nested_commissioned	2023-06-06	weed	0.75	0.5	0.75	4726	0.29707998307236566
nested_commissioned	2023-06-06	crop	0.75	0.5	0.9	633	0.41390205371248023
nested_commissioned	2023-06-06	weed	0.75	0.5	0.9	4726	0.2955988150655946
nested_commissioned	2023-06-06	crop	0.75	0.75	0.5	633	0.23222748815165878
nested_commissioned	2023-06-06	weed	0.75	0.75	0.5	4726	0.15256030469741855
nested_commissioned	2023-06-06	crop	0.75	0.75	0.75	633	0.1990521327014218
nested_commissioned	2023-06-06	weed	0.75	0.75	0.75	4726	0.14494286923402455
nested_commissioned	2023-06-06	crop	0.75	0.75	0.9	633	0.1579778830963665
nested_commissioned	2023-06-06	weed	0.75	0.75	0.9	4726	0.14388489208633093
nested_commissioned	2023-06-15	crop	0.25	0.25	0.5	194	0.5
nested_commissioned	2023-06-15	weed	0.25	0.25	0.5	1181	0.4343776460626588
nested_commissioned	2023-06-15	crop	0.25	0.25	0.75	194	0.26804123711340205
nested_commissioned	2023-06-15	weed	0.25	0.25	0.75	1181	0.31583403895004236
nested_commissioned	2023-06-15	crop	0.25	0.25	0.9	194	0.10309278350515463
nested_commissioned	2023-06-15	weed	0.25	0.25	0.9	1181	0.14563928873835733
nested_commissioned	2023-06-15	crop	0.25	0.5	0.5	194	0.5
nested_commissioned	2023-06-15	weed	0.25	0.5	0.5	1181	0.4343776460626588
nested_commissioned	2023-06-15	crop	0.25	0.5	0.75	194	0.26804123711340205
nested_commissioned	2023-06-15	weed	0.25	0.5	0.75	1181	0.31583403895004236
nested_commissioned	2023-06-15	crop	0.25	0.5	0.9	194	0.10309278350515463
nested_commissioned	2023-06-15	weed	0.25	0.5	0.9	1181	0.14563928873835733
nested_commissioned	2023-06-15	crop	0.25	0.75	0.5	194	0.4793814432989691
nested_commissioned	2023-06-15	weed	0.25	0.75	0.5	1181	0.32006773920406434
nested_commissioned	2023-06-15	crop	0.25	0.75	0.75	194	0.24742268041237114
nested_commissioned	2023-06-15	weed	0.25	0.75	0.75	1181	0.20237087214225233
nested_commissioned	2023-06-15	crop	0.25	0.75	0.9	194	0.10309278350515463
nested_commissioned	2023-06-15	weed	0.25	0.75	0.9	1181	0.11854360711261643
nested_commissioned	2023-06-15	crop	0.5	0.25	0.5	194	0.29896907216494845
nested_commissioned	2023-06-15	weed	0.5	0.25	0.5	1181	0.3370025402201524
nested_commissioned	2023-06-15	crop	0.5	0.25	0.75	194	0.1134020618556701
nested_commissioned	2023-06-15	weed	0.5	0.25	0.75	1181	0.2480948348856901
nested_commissioned	2023-06-15	crop	0.5	0.25	0.9	194	0.041237113402061855
nested_commissioned	2023-06-15	weed	0.5	0.25	0.9	1181	0.0821337849280271
nested_commissioned	2023-06-15	crop	0.5	0.5	0.5	194	0.29896907216494845
nested_commissioned	2023-06-15	weed	0.5	0.5	0.5	1181	0.3370025402201524
nested_commissioned	2023-06-15	crop	0.5	0.5	0.75	194	0.1134020618556701
nested_commissioned	2023-06-15	weed	0.5	0.5	0.75	1181	0.2480948348856901
nested_commissioned	2023-06-15	crop	0.5	0.5	0.9	194	0.041237113402061855
nested_commissioned	2023-06-15	weed	0.5	0.5	0.9	1181	0.0821337849280271
nested_commissioned	2023-06-15	crop	0.5	0.75	0.5	194	0.28350515463917525
nested_commissioned	2023-06-15	weed	0.5	0.75	0.5	1181	0.2277730736663844
nested_commissioned	2023-06-15	crop	0.5	0.75	0.75	194	0.0979381443298969
nested_commissioned	2023-06-15	weed	0.5	0.75	0.75	1181	0.1397121083827265
nested_commissioned	2023-06-15	crop	0.5	0.75	0.9	194	0.041237113402061855
nested_commissioned	2023-06-15	weed	0.5	0.75	0.9	1181	0.05842506350550381
nested_commissioned	2023-06-15	crop	0.75	0.25	0.5	194	0.15979381443298968
nested_commissioned	2023-06-15	weed	0.75	0.25	0.5	1181	0.23708721422523285
nested_commissioned	2023-06-15	crop	0.75	0.25	0.75	194	0.06701030927835051
nested_commissioned	2023-06-15	weed	0.75	0.25	0.75	1181	0.18120237087214225
nested_commissioned	2023-06-15	crop	0.75	0.25	0.9	194	0.030927835051546393
nested_commissioned	2023-06-15	weed	0.75	0.25	0.9	1181	0.04064352243861134
nested_commissioned	2023-06-15	crop	0.75	0.5	0.5	194	0.15979381443298968
nested_commissioned	2023-06-15	weed	0.75	0.5	0.5	1181	0.23708721422523285
nested_commissioned	2023-06-15	crop	0.75	0.5	0.75	194	0.06701030927835051
nested_commissioned	2023-06-15	weed	0.75	0.5	0.75	1181	0.18120237087214225
nested_commissioned	2023-06-15	crop	0.75	0.5	0.9	194	0.030927835051546393
nested_commissioned	2023-06-15	weed	0.75	0.5	0.9	1181	0.04064352243861134
nested_commissioned	2023-06-15	crop	0.75	0.75	0.5	194	0.14948453608247422
nested_commissioned	2023-06-15	weed	0.75	0.75	0.5	1181	0.14394580863674852
nested_commissioned	2023-06-15	crop	0.75	0.75	0.75	194	0.05670103092783505
nested_commissioned	2023-06-15	weed	0.75	0.75	0.75	1181	0.08806096528365792
nested_commissioned	2023-06-15	crop	0.75	0.75	0.9	194	0.030927835051546393
nested_commissioned	2023-06-15	weed	0.75	0.75	0.9	1181	0.02286198137171888
