variant	held_out_date	truth_role	minimum_instance_coverage	minimum_candidate_labeled_coverage	minimum_same_role_purity	truth_instances	role_qualified_proposal_recall
original	2023-05-30	crop	0.5	0.75	0.9	520	0.13076923076923078
original	2023-05-30	weed	0.5	0.75	0.9	2427	0.07128141738772147
original	2023-05-30	crop	0.75	0.25	0.5	520	0.4
original	2023-05-30	weed	0.75	0.25	0.5	2427	0.10754017305315204
original	2023-05-30	crop	0.75	0.25	0.75	520	0.38653846153846155
original	2023-05-30	weed	0.75	0.25	0.75	2427	0.10712814173877215
original	2023-05-30	crop	0.75	0.25	0.9	520	0.36346153846153845
original	2023-05-30	weed	0.75	0.25	0.9	2427	0.10712814173877215
original	2023-05-30	crop	0.75	0.5	0.5	520	0.34423076923076923
original	2023-05-30	weed	0.75	0.5	0.5	2427	0.0754017305315204
original	2023-05-30	crop	0.75	0.5	0.75	520	0.33653846153846156
original	2023-05-30	weed	0.75	0.5	0.75	2427	0.0749896992171405
original	2023-05-30	crop	0.75	0.5	0.9	520	0.3153846153846154
original	2023-05-30	weed	0.75	0.5	0.9	2427	0.0749896992171405
original	2023-05-30	crop	0.75	0.75	0.5	520	0.051923076923076926
original	2023-05-30	weed	0.75	0.75	0.5	2427	0.026370004120313144
original	2023-05-30	crop	0.75	0.75	0.75	520	0.051923076923076926
original	2023-05-30	weed	0.75	0.75	0.75	2427	0.026370004120313144
original	2023-05-30	crop	0.75	0.75	0.9	520	0.05
original	2023-05-30	weed	0.75	0.75	0.9	2427	0.026370004120313144
original	2023-06-06	crop	0.25	0.25	0.5	633	0.8625592417061612
original	2023-06-06	weed	0.25	0.25	0.5	4726	0.4066864155734236
original	2023-06-06	crop	0.25	0.25	0.75	633	0.717219589257504
original	2023-06-06	weed	0.25	0.25	0.75	4726	0.38658484976724505
original	2023-06-06	crop	0.25	0.25	0.9	633	0.5892575039494471
original	2023-06-06	weed	0.25	0.25	0.9	4726	0.3834109183241642
original	2023-06-06	crop	0.25	0.5	0.5	633	0.8625592417061612
original	2023-06-06	weed	0.25	0.5	0.5	4726	0.3988573846804909
original	2023-06-06	crop	0.25	0.5	0.75	633	0.717219589257504
original	2023-06-06	weed	0.25	0.5	0.75	4726	0.3787558188743123
original	2023-06-06	crop	0.25	0.5	0.9	633	0.5892575039494471
original	2023-06-06	weed	0.25	0.5	0.9	4726	0.3755818874312315
original	2023-06-06	crop	0.25	0.75	0.5	633	0.660347551342812
original	2023-06-06	weed	0.25	0.75	0.5	4726	0.3169699534490055
original	2023-06-06	crop	0.25	0.75	0.75	633	0.5639810426540285
original	2023-06-06	weed	0.25	0.75	0.75	4726	0.30279305966991116
original	2023-06-06	crop	0.25	0.75	0.9	633	0.4786729857819905
original	2023-06-06	weed	0.25	0.75	0.9	4726	0.29983072365636904
original	2023-06-06	crop	0.5	0.25	0.5	633	0.7756714060031595
original	2023-06-06	weed	0.5	0.25	0.5	4726	0.2797291578501904
original	2023-06-06	crop	0.5	0.25	0.75	633	0.6382306477093207
original	2023-06-06	weed	0.5	0.25	0.75	4726	0.26153195090986037
original	2023-06-06	crop	0.5	0.25	0.9	633	0.5150078988941548
original	2023-06-06	weed	0.5	0.25	0.9	4726	0.2583580194667795
original	2023-06-06	crop	0.5	0.5	0.5	633	0.7756714060031595
original	2023-06-06	weed	0.5	0.5	0.5	4726	0.2740160812526449
original	2023-06-06	crop	0.5	0.5	0.75	633	0.6382306477093207
original	2023-06-06	weed	0.5	0.5	0.75	4726	0.25581887431231487
original	2023-06-06	crop	0.5	0.5	0.9	633	0.5150078988941548
original	2023-06-06	weed	0.5	0.5	0.9	4726	0.252644942869234
original	2023-06-06	crop	0.5	0.75	0.5	633	0.5781990521327014
original	2023-06-06	weed	0.5	0.75	0.5	4726	0.2147693609818028
original	2023-06-06	crop	0.5	0.75	0.75	633	0.48973143759873616
original	2023-06-06	weed	0.5	0.75	0.75	4726	0.20207363520947946
original	2023-06-06	crop	0.5	0.75	0.9	633	0.4075829383886256
original	2023-06-06	weed	0.5	0.75	0.9	4726	0.19911129919593737
original	2023-06-06	crop	0.75	0.25	0.5	633	0.5134281200631912
original	2023-06-06	weed	0.75	0.25	0.5	4726	0.11933982225983919
original	2023-06-06	crop	0.75	0.25	0.75	633	0.4075829383886256
original	2023-06-06	weed	0.75	0.25	0.75	4726	0.10410495133305121
original	2023-06-06	crop	0.75	0.25	0.9	633	0.31121642969984203
original	2023-06-06	weed	0.75	0.25	0.9	4726	0.10177740160812526
original	2023-06-06	crop	0.75	0.5	0.5	633	0.5134281200631912
original	2023-06-06	weed	0.75	0.5	0.5	4726	0.11701227253491324
original	2023-06-06	crop	0.75	0.5	0.75	633	0.4075829383886256
original	2023-06-06	weed	0.75	0.5	0.75	4726	0.10177740160812526
original	2023-06-06	crop	0.75	0.5	0.9	633	0.31121642969984203
original	2023-06-06	weed	0.75	0.5	0.9	4726	0.09944985188319933
original	2023-06-06	crop	0.75	0.75	0.5	633	0.3665086887835703
original	2023-06-06	weed	0.75	0.75	0.5	4726	0.08717731696995346
original	2023-06-06	crop	0.75	0.75	0.75	633	0.3001579778830964
original	2023-06-06	weed	0.75	0.75	0.75	4726	0.07702073635209479
original	2023-06-06	crop	0.75	0.75	0.9	633	0.23222748815165878
original	2023-06-06	weed	0.75	0.75	0.9	4726	0.07490478205670757
original	2023-06-15	crop	0.25	0.25	0.5	194	0.4536082474226804
original	2023-06-15	weed	0.25	0.25	0.5	1181	0.2514817950889077
original	2023-06-15	crop	0.25	0.25	0.75	194	0.26804123711340205
original	2023-06-15	weed	0.25	0.25	0.75	1181	0.21676545300592717
original	2023-06-15	crop	0.25	0.25	0.9	194	0.211340206185567
original	2023-06-15	weed	0.25	0.25	0.9	1181	0.08128704487722269
original	2023-06-15	crop	0.25	0.5	0.5	194	0.4536082474226804
original	2023-06-15	weed	0.25	0.5	0.5	1181	0.2514817950889077
original	2023-06-15	crop	0.25	0.5	0.75	194	0.26804123711340205
original	2023-06-15	weed	0.25	0.5	0.75	1181	0.21676545300592717
original	2023-06-15	crop	0.25	0.5	0.9	194	0.211340206185567
original	2023-06-15	weed	0.25	0.5	0.9	1181	0.08128704487722269
original	2023-06-15	crop	0.25	0.75	0.5	194	0.4484536082474227
original	2023-06-15	weed	0.25	0.75	0.5	1181	0.1718882303132938
original	2023-06-15	crop	0.25	0.75	0.75	194	0.26288659793814434
original	2023-06-15	weed	0.25	0.75	0.75	1181	0.14055884843353092
original	2023-06-15	crop	0.25	0.75	0.9	194	0.20618556701030927
original	2023-06-15	weed	0.25	0.75	0.9	1181	0.07197290431837426
original	2023-06-15	crop	0.5	0.25	0.5	194	0.23711340206185566
original	2023-06-15	weed	0.5	0.25	0.5	1181	0.17950889077053345
original	2023-06-15	crop	0.5	0.25	0.75	194	0.10824742268041238
original	2023-06-15	weed	0.5	0.25	0.75	1181	0.15749364944961897
original	2023-06-15	crop	0.5	0.25	0.9	194	0.08762886597938144
original	2023-06-15	weed	0.5	0.25	0.9	1181	0.03725656223539373
original	2023-06-15	crop	0.5	0.5	0.5	194	0.23711340206185566
original	2023-06-15	weed	0.5	0.5	0.5	1181	0.17950889077053345
original	2023-06-15	crop	0.5	0.5	0.75	194	0.10824742268041238
original	2023-06-15	weed	0.5	0.5	0.75	1181	0.15749364944961897
original	2023-06-15	crop	0.5	0.5	0.9	194	0.08762886597938144
original	2023-06-15	weed	0.5	0.5	0.9	1181	0.03725656223539373
original	2023-06-15	crop	0.5	0.75	0.5	194	0.23195876288659795
original	2023-06-15	weed	0.5	0.75	0.5	1181	0.10838272650296359
original	2023-06-15	crop	0.5	0.75	0.75	194	0.10309278350515463
original	2023-06-15	weed	0.5	0.75	0.75	1181	0.08806096528365792
original	2023-06-15	crop	0.5	0.75	0.9	194	0.08247422680412371
original	2023-06-15	weed	0.5	0.75	0.9	1181	0.028789161727349702
original	2023-06-15	crop	0.75	0.25	0.5	194	0.08762886597938144
original	2023-06-15	weed	0.75	0.25	0.5	1181	0.13039796782387808
original	2023-06-15	crop	0.75	0.25	0.75	194	0.02577319587628866
original	2023-06-15	weed	0.75	0.25	0.75	1181	0.11854360711261643
original	2023-06-15	crop	0.75	0.25	0.9	194	0.020618556701030927
original	2023-06-15	weed	0.75	0.25	0.9	1181	0.016088060965283656
original	2023-06-15	crop	0.75	0.5	0.5	194	0.08762886597938144
original	2023-06-15	weed	0.75	0.5	0.5	1181	0.13039796782387808
original	2023-06-15	crop	0.75	0.5	0.75	194	0.02577319587628866
original	2023-06-15	weed	0.75	0.5	0.75	1181	0.11854360711261643
original	2023-06-15	crop	0.75	0.5	0.9	194	0.020618556701030927
original	2023-06-15	weed	0.75	0.5	0.9	1181	0.016088060965283656
original	2023-06-15	crop	0.75	0.75	0.5	194	0.08762886597938144
original	2023-06-15	weed	0.75	0.75	0.5	1181	0.06773920406435224
original	2023-06-15	crop	0.75	0.75	0.75	194	0.02577319587628866
original	2023-06-15	weed	0.75	0.75	0.75	1181	0.057578323454699404
original	2023-06-15	crop	0.75	0.75	0.9	194	0.020618556701030927
original	2023-06-15	weed	0.75	0.75	0.9	1181	0.010160880609652836
nested_commissioned	2023-05-25	crop	0.25	0.25	0.5	821	0.7783191230207065
nested_commissioned	2023-05-25	weed	0.25	0.25	0.5	1695	0.08672566371681416
nested_commissioned	2023-05-25	crop	0.25	0.25	0.75	821	0.7710109622411693
nested_commissioned	2023-05-25	weed	0.25	0.25	0.75	1695	0.08495575221238938
nested_commissioned	2023-05-25	crop	0.25	0.25	0.9	821	0.7649208282582217
nested_commissioned	2023-05-25	weed	0.25	0.25	0.9	1695	0.08436578171091445
nested_commissioned	2023-05-25	crop	0.25	0.5	0.5	821	0.43605359317904996
nested_commissioned	2023-05-25	weed	0.25	0.5	0.5	1695	0.032448377581120944
nested_commissioned	2023-05-25	crop	0.25	0.5	0.75	821	0.4336175395858709
nested_commissioned	2023-05-25	weed	0.25	0.5	0.75	1695	0.032448377581120944
nested_commissioned	2023-05-25	crop	0.25	0.5	0.9	821	0.43239951278928135
nested_commissioned	2023-05-25	weed	0.25	0.5	0.9	1695	0.03185840707964602
nested_commissioned	2023-05-25	crop	0.25	0.75	0.5	821	0.08526187576126674
nested_commissioned	2023-05-25	weed	0.25	0.75	0.5	1695	0.0058997050147492625
nested_commissioned	2023-05-25	crop	0.25	0.75	0.75	821	0.08526187576126674
nested_commissioned	2023-05-25	weed	0.25	0.75	0.75	1695	0.0058997050147492625
nested_commissioned	2023-05-25	crop	0.25	0.75	0.9	821	0.08526187576126674
nested_commissioned	2023-05-25	weed	0.25	0.75	0.9	1695	0.005309734513274336
