variant	ranker_weights	test_candidates	test_weed_candidates	test_nonweed_candidates	test_all_candidate_roc_auc	test_all_candidate_average_precision
original_T095_A032	identical commissioned-train-plus-validation fitted weights	802	453	349	0.7791039678172261	0.7661541270066378
commissioned_T070_A032	identical commissioned-train-plus-validation fitted weights	2351	464	1887	0.9049234325603494	0.6960461738094812
