variant	ranker_weights	k	aggregation	stratum	images	accepted_candidates	weed_candidates	all_candidate_queue_precision	weed_truth_instances	spatial_recalled_weed_instances	queued_spatial_weed_instance_recall	role_qualified_recalled_weed_instances	queued_role_qualified_weed_instance_recall	one_to_one_spatial_matches	one_to_one_spatial_recall	one_to_one_role_qualified_matches	one_to_one_role_qualified_recall	crop_overlap_scene_numerator_0.00	crop_overlap_scene_frequency_0.00	crop_overlap_scene_numerator_0.01	crop_overlap_scene_frequency_0.01	crop_overlap_scene_numerator_0.10	crop_overlap_scene_frequency_0.10	crop_overlap_scene_numerator_0.50	crop_overlap_scene_frequency_0.50
commissioned_T070_A032	identical	1	pooled_test	ALL	26	26	10	0.38461538461538464	1712	111	0.06483644859813084	8	0.004672897196261682	13	0.007593457943925234	8	0.004672897196261682	13	0.5	13	0.5	13	0.5	9	0.34615384615384615
commissioned_T070_A032	identical	1	acquisition_date	2023-05-25	8	8	0	0.0	392	0	0.0	0	0.0	0	0.0	0	0.0	8	1.0	8	1.0	8	1.0	7	0.875
commissioned_T070_A032	identical	1	acquisition_date	2023-05-30	8	8	3	0.375	440	6	0.013636363636363636	3	0.006818181818181818	6	0.013636363636363636	3	0.006818181818181818	2	0.25	2	0.25	2	0.25	1	0.125
commissioned_T070_A032	identical	1	acquisition_date	2023-06-06	8	8	6	0.75	726	39	0.05371900826446281	5	0.006887052341597796	6	0.008264462809917356	5	0.006887052341597796	2	0.25	2	0.25	2	0.25	1	0.125
commissioned_T070_A032	identical	1	acquisition_date	2023-06-15	2	2	1	0.5	154	66	0.42857142857142855	0	0.0	1	0.006493506493506494	0	0.0	1	0.5	1	0.5	1	0.5	0	0.0
commissioned_T070_A032	identical	5	pooled_test	ALL	26	130	68	0.5230769230769231	1712	193	0.11273364485981309	75	0.04380841121495327	73	0.04264018691588785	57	0.03329439252336448	17	0.6538461538461539	17	0.6538461538461539	17	0.6538461538461539	11	0.4230769230769231
commissioned_T070_A032	identical	5	acquisition_date	2023-05-25	8	40	3	0.075	392	4	0.01020408163265306	2	0.00510204081632653	4	0.01020408163265306	2	0.00510204081632653	8	1.0	8	1.0	8	1.0	8	1.0
commissioned_T070_A032	identical	5	acquisition_date	2023-05-30	8	40	21	0.525	440	33	0.075	22	0.05	29	0.0659090909090909	19	0.04318181818181818	4	0.5	4	0.5	4	0.5	1	0.125
commissioned_T070_A032	identical	5	acquisition_date	2023-06-06	8	40	35	0.875	726	85	0.11707988980716254	46	0.06336088154269973	34	0.046831955922865015	31	0.04269972451790634	4	0.5	4	0.5	4	0.5	2	0.25
commissioned_T070_A032	identical	5	acquisition_date	2023-06-15	2	10	9	0.9	154	71	0.461038961038961	5	0.032467532467532464	6	0.03896103896103896	5	0.032467532467532464	1	0.5	1	0.5	1	0.5	0	0.0
commissioned_T070_A032	identical	10	pooled_test	ALL	26	260	131	0.5038461538461538	1712	288	0.16822429906542055	144	0.08411214953271028	141	0.08235981308411215	109	0.06366822429906542	22	0.8461538461538461	22	0.8461538461538461	22	0.8461538461538461	16	0.6153846153846154
commissioned_T070_A032	identical	10	acquisition_date	2023-05-25	8	80	5	0.0625	392	10	0.025510204081632654	4	0.01020408163265306	10	0.025510204081632654	4	0.01020408163265306	8	1.0	8	1.0	8	1.0	8	1.0
commissioned_T070_A032	identical	10	acquisition_date	2023-05-30	8	80	44	0.55	440	61	0.13863636363636364	41	0.09318181818181819	54	0.12272727272727273	36	0.08181818181818182	7	0.875	7	0.875	7	0.875	3	0.375
commissioned_T070_A032	identical	10	acquisition_date	2023-06-06	8	80	68	0.85	726	144	0.19834710743801653	92	0.12672176308539945	69	0.09504132231404959	62	0.08539944903581267	5	0.625	5	0.625	5	0.625	4	0.5
commissioned_T070_A032	identical	10	acquisition_date	2023-06-15	2	20	14	0.7	154	73	0.474025974025974	7	0.045454545454545456	8	0.05194805194805195	7	0.045454545454545456	2	1.0	2	1.0	2	1.0	1	0.5
commissioned_T070_A032	identical	20	pooled_test	ALL	26	520	247	0.475	1712	467	0.2727803738317757	273	0.1594626168224299	265	0.15478971962616822	201	0.11740654205607477	23	0.8846153846153846	23	0.8846153846153846	23	0.8846153846153846	16	0.6153846153846154
commissioned_T070_A032	identical	20	acquisition_date	2023-05-25	8	160	12	0.075	392	21	0.05357142857142857	11	0.02806122448979592	20	0.05102040816326531	10	0.025510204081632654	8	1.0	8	1.0	8	1.0	8	1.0
commissioned_T070_A032	identical	20	acquisition_date	2023-05-30	8	160	74	0.4625	440	110	0.25	68	0.15454545454545454	94	0.21363636363636362	57	0.12954545454545455	7	0.875	7	0.875	7	0.875	3	0.375
commissioned_T070_A032	identical	20	acquisition_date	2023-06-06	8	160	138	0.8625	726	243	0.3347107438016529	183	0.25206611570247933	138	0.19008264462809918	123	0.16942148760330578	6	0.75	6	0.75	6	0.75	4	0.5
commissioned_T070_A032	identical	20	acquisition_date	2023-06-15	2	40	23	0.575	154	93	0.6038961038961039	11	0.07142857142857142	13	0.08441558441558442	11	0.07142857142857142	2	1.0	2	1.0	2	1.0	1	0.5
commissioned_T070_A032	identical	50	pooled_test	ALL	26	1237	425	0.34357316087308004	1712	811	0.473714953271028	476	0.2780373831775701	505	0.2949766355140187	342	0.19976635514018692	24	0.9230769230769231	24	0.9230769230769231	24	0.9230769230769231	21	0.8076923076923077
commissioned_T070_A032	identical	50	acquisition_date	2023-05-25	8	382	14	0.03664921465968586	392	31	0.07908163265306123	13	0.03316326530612245	30	0.07653061224489796	12	0.030612244897959183	8	1.0	8	1.0	8	1.0	8	1.0
commissioned_T070_A032	identical	50	acquisition_date	2023-05-30	8	400	117	0.2925	440	179	0.4068181818181818	105	0.23863636363636365	155	0.3522727272727273	89	0.20227272727272727	7	0.875	7	0.875	7	0.875	5	0.625
commissioned_T070_A032	identical	50	acquisition_date	2023-06-06	8	398	256	0.6432160804020101	726	503	0.6928374655647382	343	0.4724517906336088	304	0.418732782369146	228	0.3140495867768595	7	0.875	7	0.875	7	0.875	7	0.875
commissioned_T070_A032	identical	50	acquisition_date	2023-06-15	2	57	38	0.6666666666666666	154	98	0.6363636363636364	15	0.09740259740259741	16	0.1038961038961039	13	0.08441558441558442	2	1.0	2	1.0	2	1.0	1	0.5
